arxiv_id,titulo,primeiro_autor,n_autores,data,ano,fase,fase_nome,tipo,tipo_nome,agentico,foco,n_buscas_recuperado,citacoes_openalex,fwci_openalex,categoria_arxiv,url,doi_arxiv
2604.26192,LLM-Assisted Empirical Software Engineering: Systematic Literature Review and Research Agenda,Victoria Gomes,5,2026-04-29T00:34:39Z,2026,F4,Verificação & qualidade,T1,Revisão sistemática (SLR),baixo,"LLMs em engenharia empírica de software: tarefas, fases, integração",2,,,cs.SE,https://arxiv.org/abs/2604.26192,https://doi.org/10.48550/arXiv.2604.26192
2607.26100,Large Language Models for Software Engineering Diagrams: A Systematic Review of UML and ER modelling,Mojdeh Rahmanian,3,2026-07-28T06:41:32Z,2026,F2,Projeto & arquitetura,T1,Revisão sistemática (SLR),baixo,LLMs para modelagem UML/ER em engenharia de software,2,,,cs.SE,https://arxiv.org/abs/2607.26100,https://doi.org/10.48550/arXiv.2607.26100
2604.15385,Prompt-Driven Code Summarization: A Systematic Literature Review,Afia Farjana,3,2026-04-16T03:25:28Z,2026,F3,Implementação & geração de código,T1,Revisão sistemática (SLR),medio,Prompt engineering para sumarização de código via LLMs em engenharia de software,2,,,cs.SE,https://arxiv.org/abs/2604.15385,https://doi.org/10.48550/arXiv.2604.15385
2603.25146,Factors Influencing the Quality of AI-Generated Code: A Synthesis of Empirical Evidence,Vehid Geruslu,3,2026-03-26T08:06:42Z,2026,F3,Implementação & geração de código,T1,Revisão sistemática (SLR),medio,Qualidade de código gerado por LLMs e fatores influenciadores,1,,,cs.SE,https://arxiv.org/abs/2603.25146,https://doi.org/10.48550/arXiv.2603.25146
2603.00989,Sustainable Code Generation Using Large Language Models: A Systematic Literature Review,Sabiya Banu Masthan Ali,5,2026-03-01T08:32:36Z,2026,F3,Implementação & geração de código,T1,Revisão sistemática (SLR),medio,Sustentabilidade e eficiência de código gerado por LLMs,3,,,cs.SE,https://arxiv.org/abs/2603.00989,https://doi.org/10.48550/arXiv.2603.00989
2607.24991,Preliminary Guidelines for Using and Evaluating GenAI Tools to Support Systematic Literature Reviews,Barbara Kitchenham,6,2026-07-27T18:43:35Z,2026,F7,Processo transversal & ciclo completo,T3,Survey narrativo,medio,Diretrizes para uso e avaliação de GenAI em revisões sistemáticas,3,,,cs.SE,https://arxiv.org/abs/2607.24991,https://doi.org/10.48550/arXiv.2607.24991
2604.25960,Large Language Models for Multilingual Code Intelligence: A Survey,Chao Jiang,9,2026-04-27T20:20:26Z,2026,F3,Implementação & geração de código,T3,Survey narrativo,baixo,Geração e tradução de código multilíngue com LLMs,3,,,cs.SE,https://arxiv.org/abs/2604.25960,https://doi.org/10.48550/arXiv.2604.25960
2606.23690,"Beyond the Autoregressive Horizon: A Comprehensive Survey of Diffusion Models, World Modelling, and State Space Models for Code",Kishan Maharaj,3,2026-04-09T06:52:51Z,2026,F3,Implementação & geração de código,T3,Survey narrativo,medio,Paradigmas alternativos a modelos autorregressivos para geração de código,2,,,cs.SE,https://arxiv.org/abs/2606.23690,https://doi.org/10.48550/arXiv.2606.23690
2605.01392,Using LLMs in Software Design: An Empirical Study of GitHub and A Practitioner Survey,Yifei Wang,8,2026-05-02T11:29:21Z,2026,F2,Projeto & arquitetura,T6,Survey com praticantes + revisão,medio,Uso de LLMs em design de software por desenvolvedores,2,,,cs.SE,https://arxiv.org/abs/2605.01392,https://doi.org/10.48550/arXiv.2605.01392
2607.10488,Trusting AI to increase productivity? Perspectives Across the Global North and South,Adam Bokun,2,2026-07-11T21:50:12Z,2026,F3,Implementação & geração de código,T6,Survey com praticantes + revisão,medio,"Confiança em GenAI, produtividade percebida, contextos Global North/South",1,,,cs.SE,https://arxiv.org/abs/2607.10488,https://doi.org/10.48550/arXiv.2607.10488
2606.06563,AI-Driven Test Case Generation from Natural Language Requirements: A Survey of Techniques and Research Gaps,Orimoloye Folorunsho,2,2026-06-04T15:07:23Z,2026,F4,Verificação & qualidade,T1,Revisão sistemática (SLR),medio,Geração automática de casos de teste a partir requisitos em linguagem natural,3,,,cs.SE,https://arxiv.org/abs/2606.06563,https://doi.org/10.48550/arXiv.2606.06563
2605.18747,Code as Agent Harness,Xuying Ning,42,2026-05-18T17:59:03Z,2026,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Código como infraestrutura para agentes LLM autônomos em engenharia de software,2,,,cs.CL,https://arxiv.org/abs/2605.18747,https://doi.org/10.48550/arXiv.2605.18747
2605.15245,Assistance to Autonomy: A Systematic Literature Review of Agentic AI across the Software Development Life Cycle,Spyridon Alvanakis Apostolou,3,2026-05-14T10:46:51Z,2026,F7,Processo transversal & ciclo completo,T1,Revisão sistemática (SLR),alto,Agentes autônomos em todo ciclo de vida desenvolvimento software,1,,,cs.SE,https://arxiv.org/abs/2605.15245,https://doi.org/10.48550/arXiv.2605.15245
2606.04967,From Prompt to Process: a Process Taxonomy and Comparative Assessment of Frameworks Supporting AI Software Development Agents,Sanderson Oliveira de Macedo,1,2026-06-03T14:49:15Z,2026,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Taxonomia de processos para frameworks de desenvolvimento de software com agentes IA,2,,,cs.SE,https://arxiv.org/abs/2606.04967,https://doi.org/10.48550/arXiv.2606.04967
2607.13196,From Human-Centric to Agentic Code Review: The Impact of Different Generations of Generative AI Technology on Review Quality,Suzhen Zhong,4,2026-07-14T18:48:20Z,2026,F4,Verificação & qualidade,T3,Survey narrativo,alto,Impacto de agentes IA em qualidade e eficiência de code review,3,,,cs.SE,https://arxiv.org/abs/2607.13196,https://doi.org/10.48550/arXiv.2607.13196
2602.13377,A Survey of Code Review Benchmarks and Evaluation Practices in Pre-LLM and LLM Era,Taufiqul Islam Khan,4,2026-02-13T18:19:38Z,2026,F4,Verificação & qualidade,T3,Survey narrativo,medio,Benchmarks e práticas de avaliação para revisão de código com LLMs,2,,,cs.SE,https://arxiv.org/abs/2602.13377,https://doi.org/10.48550/arXiv.2602.13377
2606.05339,A Taxonomy of Runtime Faults in Model Context Protocol Servers,Joshua Owotogbe,6,2026-06-03T18:28:20Z,2026,F4,Verificação & qualidade,T4,Taxonomia/framework,alto,Taxonomia de falhas em tempo de execução de servidores MCP,1,,,cs.SE,https://arxiv.org/abs/2606.05339,https://doi.org/10.48550/arXiv.2606.05339
2606.14796,"Faster Code, Deeper Debt? A Multivocal Literature Review on Technical Debt and Its Early Signs in LLM-Assisted Software Development",Ramtin Ehsani,4,2026-06-11T14:44:30Z,2026,F6,"Manutenção, evolução & operação",T3,Survey narrativo,medio,Dívida técnica em desenvolvimento assistido por LLM,1,,,cs.SE,https://arxiv.org/abs/2606.14796,https://doi.org/10.48550/arXiv.2606.14796
2602.00089,Exploring the Role of Automated Feedback in Programming Education: A Systematic Literature Review,Yeonji Jung,7,2026-01-23T05:20:37Z,2026,F8,Formação e educação em engenharia de software,T1,Revisão sistemática (SLR),medio,Sistemas de feedback automatizado para educação em programação,1,,,cs.CY,https://arxiv.org/abs/2602.00089,https://doi.org/10.48550/arXiv.2602.00089
2607.21608,From Obligation to Specification: A Survey on Validating EU AI Act Requirements in RE,T. Y. Emmy Lai,4,2026-05-18T13:02:16Z,2026,F1,Requisitos & especificação,T6,Survey com praticantes + revisão,medio,Validação de requisitos EU AI Act com ferramentas LLM-agenticas,1,,,cs.SE,https://arxiv.org/abs/2607.21608,https://doi.org/10.48550/arXiv.2607.21608
2601.20112,"Usage, Effects and Requirements for AI Coding Assistants in the Enterprise: An Empirical Study",Maja Vukovic,6,2026-01-27T22:57:20Z,2026,F3,Implementação & geração de código,T6,Survey com praticantes + revisão,medio,"Assistentes de código IA em empresa: uso, efeitos e requisitos",1,,,cs.SE,https://arxiv.org/abs/2601.20112,https://doi.org/10.48550/arXiv.2601.20112
2602.06052,A Survey of Agent Memory in the Second Half: Towards Self-Evolving and Long-Horizon Agents,Wei-Chieh Huang,60,2026-01-14T07:38:38Z,2026,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Memória de agentes LLM para desenvolvimento de software e tarefas longas,2,,,cs.CL,https://arxiv.org/abs/2602.06052,https://doi.org/10.48550/arXiv.2602.06052
2608.03392,Self-Evolving Coding Agents,Hao Zhou,4,2026-08-04T09:43:46Z,2026,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Agentes de codificação autônomos que evoluem mediante feedback,1,,,cs.SE,https://arxiv.org/abs/2608.03392,https://doi.org/10.48550/arXiv.2608.03392
2603.17150,Intent Formalization: A Grand Challenge for Reliable Coding in the Age of AI Agents,Shuvendu K. Lahiri,1,2026-03-17T21:28:59Z,2026,F4,Verificação & qualidade,T3,Survey narrativo,alto,Formalização de intenção e verificação de código gerado por agentes IA,1,,,cs.SE,https://arxiv.org/abs/2603.17150,https://doi.org/10.48550/arXiv.2603.17150
2603.00059,Stochastic Parrots or Singing in Harmony? Testing Five Leading LLMs for their Ability to Replicate a Human Survey with Synthetic Data,Jason Miklian,3,2026-02-10T09:50:33Z,2026,F4,Verificação & qualidade,T6,Survey com praticantes + revisão,medio,Validação de dados sintéticos gerados por LLMs versus respostas humanas,1,,,cs.CY,https://arxiv.org/abs/2603.00059,https://doi.org/10.48550/arXiv.2603.00059
2605.25536,"A Tertiary Review of Large Language Model-Based Code Generating Tasks: Trends, Challenges, and Future Directions",Muslim Chochlov,3,2026-05-25T07:49:23Z,2026,F3,Implementação & geração de código,T5,Estudo terciário/meta-análise,baixo,"Geração de código com LLMs: benchmarks, robustez, eficiência e avaliação",1,,,cs.SE,https://arxiv.org/abs/2605.25536,https://doi.org/10.48550/arXiv.2605.25536
2503.16416,Survey on Evaluation of LLM-based Agents,Asaf Yehudai,8,2025-03-20T17:59:23Z,2025,F4,Verificação & qualidade,T3,Survey narrativo,alto,Métodos de avaliação de agentes baseados em LLM e benchmarks,3,8.0,278.3077,cs.AI,https://arxiv.org/abs/2503.16416,https://doi.org/10.48550/arXiv.2503.16416
2509.11446,Large Language Models (LLMs) for Requirements Engineering (RE): A Systematic Literature Review,Mohammad Amin Zadenoori,5,2025-09-14T21:45:01Z,2025,F1,Requisitos & especificação,T1,Revisão sistemática (SLR),medio,"LLMs em engenharia de requisitos: elicitação, validação e artefatos",2,6.0,2.4888,cs.SE,https://arxiv.org/abs/2509.11446,https://doi.org/10.48550/arXiv.2509.11446
2501.01277,"Language Models for Code Optimization: Survey, Challenges and Future Directions",Jingzhi Gong,10,2025-01-02T14:20:36Z,2025,F3,Implementação & geração de código,T1,Revisão sistemática (SLR),baixo,Otimização de código usando modelos de linguagem,2,5.0,,cs.SE,https://arxiv.org/abs/2501.01277,https://doi.org/10.48550/arXiv.2501.01277
2507.22659,A Systematic Literature Review on Detecting Software Vulnerabilities with Large Language Models,Sabrina Kaniewski,5,2025-07-30T13:17:16Z,2025,F4,Verificação & qualidade,T1,Revisão sistemática (SLR),baixo,Detecção de vulnerabilidades de software usando LLMs,2,3.0,24.7586,cs.SE,https://arxiv.org/abs/2507.22659,https://doi.org/10.48550/arXiv.2507.22659
2502.19411,"Code to Think, Think to Code: A Survey on Code-Enhanced Reasoning and Reasoning-Driven Code Intelligence in LLMs",Dayu Yang,11,2025-02-26T18:55:42Z,2025,F3,Implementação & geração de código,T3,Survey narrativo,medio,Code-enhanced reasoning e code intelligence em LLMs para engenharia de software,2,3.0,5.019,cs.CL,https://arxiv.org/abs/2502.19411,https://doi.org/10.48550/arXiv.2502.19411
2505.16697,Software Architecture Meets LLMs: A Systematic Literature Review,Larissa Schmid,8,2025-05-22T14:00:29Z,2025,F2,Projeto & arquitetura,T1,Revisão sistemática (SLR),baixo,Aplicação de LLMs em tarefas de arquitetura de software,4,2.0,0.8296,cs.SE,https://arxiv.org/abs/2505.16697,https://doi.org/10.48550/arXiv.2505.16697
2503.07556,Novice Developers' Perspectives on Adopting LLMs for Software Development: A Systematic Literature Review,Samuel Ferino,4,2025-03-10T17:25:24Z,2025,F8,Formação e educação em engenharia de software,T1,Revisão sistemática (SLR),medio,Adoção de LLMs por desenvolvedores novatos em engenharia de software,2,2.0,16.5057,cs.SE,https://arxiv.org/abs/2503.07556,https://doi.org/10.48550/arXiv.2503.07556
2510.12399,A Survey of Vibe Coding with Large Language Models,Yuyao Ge,15,2025-10-14T11:26:56Z,2025,F3,Implementação & geração de código,T3,Survey narrativo,alto,Agentes autônomos de codificação com LLMs e colaboração humano-IA,3,2.0,,cs.AI,https://arxiv.org/abs/2510.12399,https://doi.org/10.48550/arXiv.2510.12399
2506.23749,"A Survey of LLM-based Automated Program Repair: Taxonomies, Design Paradigms, and Applications",Boyang Yang,8,2025-06-30T11:46:01Z,2025,F5,Depuração & reparo,T3,Survey narrativo,medio,"Reparo automático de programas baseado em LLMs, taxonomias e paradigmas",4,2.0,,cs.SE,https://arxiv.org/abs/2506.23749,https://doi.org/10.48550/arXiv.2506.23749
2507.05270,"Open Source, Hidden Costs: A Systematic Literature Review on OSS License Management",Boyuan Li,6,2025-07-03T14:02:15Z,2025,F6,"Manutenção, evolução & operação",T1,Revisão sistemática (SLR),medio,Gestão de riscos de licenças OSS em desenvolvimento de software,2,2.0,0.8894,cs.SE,https://arxiv.org/abs/2507.05270,https://doi.org/10.48550/arXiv.2507.05270
2508.00083,A Survey on Code Generation with LLM-based Agents,Yihong Dong,7,2025-07-31T18:17:36Z,2025,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Agentes LLM autônomos para geração código e ciclo vida software,5,1.0,,cs.SE,https://arxiv.org/abs/2508.00083,https://doi.org/10.48550/arXiv.2508.00083
2507.15025,Survey of GenAI for Automotive Software Development: From Requirements to Executable Code,Nenad Petrovic,13,2025-07-20T16:21:51Z,2025,F1,Requisitos & especificação,T3,Survey narrativo,medio,"GenAI e LLMs em requisitos, conformidade e geração de código automotivo",2,1.0,1.2703,cs.SE,https://arxiv.org/abs/2507.15025,https://doi.org/10.48550/arXiv.2507.15025
2505.05283,Software Development Life Cycle Perspective: A Survey of Benchmarks for Code Large Language Models and Agents,Kaixin Wang,10,2025-05-08T14:27:45Z,2025,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Benchmarks para CodeLLMs e agentes ao longo do SDLC completo,2,1.0,,cs.SE,https://arxiv.org/abs/2505.05283,https://doi.org/10.48550/arXiv.2505.05283
2507.22610,Metamorphic Testing of Deep Code Models: A Systematic Literature Review,Ali Asgari,4,2025-07-30T12:25:30Z,2025,F4,Verificação & qualidade,T1,Revisão sistemática (SLR),medio,Teste de robustez de modelos de IA para código via metamorfic testing,2,1.0,0.6087,cs.SE,https://arxiv.org/abs/2507.22610,https://doi.org/10.48550/arXiv.2507.22610
2512.22256,Agentic Software Issue Resolution with Large Language Models: A Survey,Zhonghao Jiang,3,2025-12-24T08:05:10Z,2025,F5,Depuração & reparo,T3,Survey narrativo,alto,Agentes LLM para resolução automática de issues em repositórios software,5,,,cs.SE,https://arxiv.org/abs/2512.22256,https://doi.org/10.48550/arXiv.2512.22256
2508.17692,LLM-based Agentic Reasoning Frameworks: A Survey from Methods to Scenarios,Bingxi Zhao,6,2025-08-25T06:01:16Z,2025,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Frameworks de raciocínio agentico baseados em LLM para engenharia de software,4,,,cs.AI,https://arxiv.org/abs/2508.17692,https://doi.org/10.48550/arXiv.2508.17692
2509.25043,Large Language Models for Software Testing: A Research Roadmap,Cristian Augusto,5,2025-09-29T16:58:21Z,2025,F4,Verificação & qualidade,T3,Survey narrativo,medio,"LLMs em testes de software: geração de código, documentação, roadmap",1,,,cs.SE,https://arxiv.org/abs/2509.25043,https://doi.org/10.48550/arXiv.2509.25043
2503.22238,"Integrating LLMs in Software Engineering Education: Motivators, Demotivators, and a Roadmap Towards a Framework for Finnish Higher Education Institutes",Maryam Khan,3,2025-03-28T08:41:43Z,2025,F8,Formação e educação em engenharia de software,T3,Survey narrativo,medio,Integração de LLMs na educação em engenharia de software,1,,,cs.SE,https://arxiv.org/abs/2503.22238,https://doi.org/10.48550/arXiv.2503.22238
2511.21382,"Large Language Models for Unit Test Generation: Achievements, Challenges, and Opportunities",Bei Chu,8,2025-11-26T13:30:11Z,2025,F4,Verificação & qualidade,T1,Revisão sistemática (SLR),medio,Geração automatizada de testes unitários com modelos de linguagem grandes,4,,,cs.SE,https://arxiv.org/abs/2511.21382,https://doi.org/10.48550/arXiv.2511.21382
2504.21569,A Systematic Literature Review of Parameter-Efficient Fine-Tuning for Large Code Models,Saima Afrin,3,2025-04-29T16:19:25Z,2025,F3,Implementação & geração de código,T1,Revisão sistemática (SLR),baixo,Técnicas de fine-tuning eficiente para modelos de código em tarefas SE,2,,,cs.SE,https://arxiv.org/abs/2504.21569,https://doi.org/10.48550/arXiv.2504.21569
2505.07425,A Systematic Literature Review on Neural Code Translation,Xiang Chen,5,2025-05-12T10:30:22Z,2025,F3,Implementação & geração de código,T1,Revisão sistemática (SLR),baixo,Tradução automática de código entre linguagens usando aprendizado profundo,2,,,cs.SE,https://arxiv.org/abs/2505.07425,https://doi.org/10.48550/arXiv.2505.07425
2506.15227,Large Language Models for Unit Testing: A Systematic Literature Review,Quanjun Zhang,6,2025-06-18T08:11:10Z,2025,F4,Verificação & qualidade,T1,Revisão sistemática (SLR),baixo,LLMs para automação de testes unitários: geração e oráculo,2,,,cs.SE,https://arxiv.org/abs/2506.15227,https://doi.org/10.48550/arXiv.2506.15227
2503.13793,Mapping the Trust Terrain: LLMs in Software Engineering -- Insights and Perspectives,Dipin Khati,5,2025-03-18T00:49:43Z,2025,F4,Verificação & qualidade,T1,Revisão sistemática (SLR),alto,Confiabilidade e trustworthiness de LLMs em tarefas engenharia software,1,,,cs.SE,https://arxiv.org/abs/2503.13793,https://doi.org/10.48550/arXiv.2503.13793
2512.00020,Large Language Model for Verilog Code Generation: Literature Review and the Road Ahead,Guang Yang,17,2025-10-29T04:14:43Z,2025,F3,Implementação & geração de código,T1,Revisão sistemática (SLR),baixo,Geração de código Verilog com LLMs em design de hardware,1,,,cs.AR,https://arxiv.org/abs/2512.00020,https://doi.org/10.48550/arXiv.2512.00020
2503.01245,"Large Language Models for Code Generation: A Comprehensive Survey of Challenges, Techniques, Evaluation, and Applications",Nam Huynh,2,2025-03-03T07:17:30Z,2025,F3,Implementação & geração de código,T3,Survey narrativo,medio,"LLMs para geração automática de código: técnicas, métricas e aplicações",2,,,cs.SE,https://arxiv.org/abs/2503.01245,https://doi.org/10.48550/arXiv.2503.01245
2508.11126,"AI Agentic Programming: A Survey of Techniques, Challenges, and Opportunities",Huanting Wang,5,2025-08-15T00:14:31Z,2025,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Agentes LLM autônomos para desenvolvimento de software com planejamento e execução multi-etapa,1,,,cs.SE,https://arxiv.org/abs/2508.11126,https://doi.org/10.48550/arXiv.2508.11126
2503.13505,Ensemble Learning for Large Language Models in Text and Code Generation: A Survey,Mari Ashiga,8,2025-03-13T18:50:57Z,2025,F3,Implementação & geração de código,T3,Survey narrativo,baixo,Técnicas ensemble para LLMs em geração de texto e código,2,,,cs.CL,https://arxiv.org/abs/2503.13505,https://doi.org/10.48550/arXiv.2503.13505
2510.04905,Retrieval-Augmented Code Generation: A Survey with Focus on Repository-Level Approaches,Yicheng Tao,4,2025-10-06T15:20:03Z,2025,F3,Implementação & geração de código,T3,Survey narrativo,medio,Geração de código em nível de repositório com recuperação aumentada,4,,,cs.SE,https://arxiv.org/abs/2510.04905,https://doi.org/10.48550/arXiv.2510.04905
2506.13932,Code Reasoning for Software Engineering Tasks: A Survey and A Call to Action,Saurabh Pujar,6,2025-06-16T19:18:09Z,2025,F3,Implementação & geração de código,T3,Survey narrativo,alto,Raciocínio em tempo de inferência para tarefas de engenharia de software com agentes,5,,,cs.SE,https://arxiv.org/abs/2506.13932,https://doi.org/10.48550/arXiv.2506.13932
2506.11094,The Scales of Justitia: A Comprehensive Survey on Safety Evaluation of LLMs,Songyang Liu,8,2025-06-06T05:50:50Z,2025,F4,Verificação & qualidade,T3,Survey narrativo,baixo,"Avaliação de segurança de LLMs: toxicidade, viés, robustez e confiabilidade",1,,,cs.CL,https://arxiv.org/abs/2506.11094,https://doi.org/10.48550/arXiv.2506.11094
2507.04136,A Technical Survey of Reinforcement Learning Techniques for Large Language Models,Saksham Sahai Srivastava,2,2025-07-05T19:13:00Z,2025,F3,Implementação & geração de código,T3,Survey narrativo,medio,Técnicas RL para otimização de LLMs em geração código e raciocínio,1,,,cs.AI,https://arxiv.org/abs/2507.04136,https://doi.org/10.48550/arXiv.2507.04136
2510.09721,A Comprehensive Survey on Benchmarks and Solutions in Software Engineering of LLM-Empowered Agentic System,Jiale Guo,11,2025-10-10T06:56:50Z,2025,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Benchmarks e soluções em engenharia de software com sistemas agenticos LLM,7,,,cs.SE,https://arxiv.org/abs/2510.09721,https://doi.org/10.48550/arXiv.2510.09721
2510.13170,Putting on the Thinking Hats: A Survey on Chain of Thought Fine-tuning from the Perspective of Human Reasoning Mechanism,Xiaoshu Chen,8,2025-10-15T05:54:13Z,2025,F3,Implementação & geração de código,T3,Survey narrativo,medio,Fine-tuning de LLMs para raciocínio em geração de código e matemática,1,,,cs.CL,https://arxiv.org/abs/2510.13170,https://doi.org/10.48550/arXiv.2510.13170
2505.01658,A Survey on Inference Engines for Large Language Models: Perspectives on Optimization and Efficiency,Sihyeong Park,6,2025-05-03T02:47:43Z,2025,F6,"Manutenção, evolução & operação",T3,Survey narrativo,medio,Otimização e eficiência de motores de inferência para LLMs em produção,1,,,cs.CL,https://arxiv.org/abs/2505.01658,https://doi.org/10.48550/arXiv.2505.01658
2509.16325,"Overhearing LLM Agents: A Survey, Taxonomy, and Roadmap",Andrew Zhu,2,2025-09-19T18:11:04Z,2025,F7,Processo transversal & ciclo completo,T3,Survey narrativo,alto,Paradigma de interação humano-IA com agentes LLM em contextos ambientes,1,,,cs.CL,https://arxiv.org/abs/2509.16325,https://doi.org/10.48550/arXiv.2509.16325
2504.19838,LLM-Powered GUI Agents in Phone Automation: Surveying Progress and Prospects,Guangyi Liu,21,2025-04-28T14:39:25Z,2025,F3,Implementação & geração de código,T3,Survey narrativo,alto,"Agentes LLM para automação GUI em telefones: arquiteturas, modelos, datasets",1,,,cs.HC,https://arxiv.org/abs/2504.19838,https://doi.org/10.48550/arXiv.2504.19838
2512.19644,A survey of generative AI adoption and perceived productivity among scientists who program,Gabrielle O'Brien,4,2025-12-22T18:17:54Z,2025,F3,Implementação & geração de código,T6,Survey com praticantes + revisão,medio,Adoção de IA generativa e produtividade em programadores cientistas,2,,,cs.SE,https://arxiv.org/abs/2512.19644,https://doi.org/10.48550/arXiv.2512.19644
2510.06000,Prompting in Practice: Investigating Software Practitioners' Use of Generative AI Tools,Daniel Otten,5,2025-10-07T15:02:22Z,2025,F3,Implementação & geração de código,T6,Survey com praticantes + revisão,medio,Uso prático de ferramentas GenAI em desenvolvimento software,1,,,cs.SE,https://arxiv.org/abs/2510.06000,https://doi.org/10.48550/arXiv.2510.06000
2510.24265,The Fast and Spurious: Developer Productivity with GenAI,Sadia Afroz,7,2025-10-28T10:23:57Z,2025,F4,Verificação & qualidade,T6,Survey com praticantes + revisão,baixo,Impacto de ferramentas GenAI na produtividade multidimensional de desenvolvedores,1,,,cs.SE,https://arxiv.org/abs/2510.24265,https://doi.org/10.48550/arXiv.2510.24265
2501.11264,Code Readability in the Age of Large Language Models: An Industrial Case Study from Atlassian,Wannita Takerngsaksiri,6,2025-01-20T04:11:21Z,2025,F3,Implementação & geração de código,T6,Survey com praticantes + revisão,alto,Legibilidade de código gerado por agentes LLM em desenvolvimento industrial,1,,,cs.SE,https://arxiv.org/abs/2501.11264,https://doi.org/10.48550/arXiv.2501.11264
