sede,tipo_trilha,arxiv_id,titulo,primeiro_autor,ano,fase,fase_nome,seguranca,confianca_fase,justificativa_fase,contrib,contrib_nome,agentico,foco,citacoes,fwci,cit_2024,cit_2025,cit_2026,ritmo_anual_2026,aceleracao,crescimento,pct_cit_2026,momentum,oa_match,nota_arxiv,url,doi_arxiv,topico_seguranca,topico_seguranca_nome
ASE,workshop/track,2510.06343,Leveraging Large Language Models for Cybersecurity Risk Assessment -- A Case from Forestry Cyber-Physical Systems,Fikret Mert Gultekin,2025,F4,Verificação & qualidade,central,alta,"Avalia vulnerabilidades e ameaças durante verificação de segurança, que é atividade de qualidade e análise de risco.",C2,Ferramenta/sistema,medio,Ferramenta LLM com RAG para avaliação de riscos cibernéticos,1.0,1.9246,,,1.0,1.7,,,1.0,sem rastro,sim,"Accepted at Autonomous Agents in Software Engineering (AgenticSE) Workshop, co-located with ASE 2025",https://arxiv.org/abs/2510.06343,https://doi.org/10.48550/arXiv.2510.06343,S8,"Requisito, projeto e política"
ASE,aceito,2511.14002,FlakyGuard: Automatically Fixing Flaky Tests at Industry Scale,Chengpeng Li,2025,F5,Depuração & reparo,ausente,automatica,,C2,Ferramenta/sistema,medio,reparo automático de testes instáveis com exploração seletiva de grafo de código,1.0,1.2703,0.0,0.0,1.0,1.681,1.681,,1.0,sem rastro,sim,To appear in ASE 2025,https://arxiv.org/abs/2511.14002,https://doi.org/10.48550/arXiv.2511.14002,,
ASE,aceito,2510.07604,RustAssure: Differential Symbolic Testing for LLM-Transpiled C-to-Rust Code,Yubo Bai,2025,F4,Verificação & qualidade,secundaria,automatica,,C2,Ferramenta/sistema,baixo,teste simbólico diferencial de código C transpilado para Rust por LLM,1.0,1.2703,0.0,0.0,1.0,1.681,1.681,,1.0,sem rastro,sim,13 pages to appear in Proceedings of ASE 2025,https://arxiv.org/abs/2510.07604,https://doi.org/10.48550/arXiv.2510.07604,S2,Segurança do código gerado por IA
ASE,aceito,2607.28587,PAIChecker: Uncovering and Checking PR-Issue Misalignment in SWE-Bench-Like Benchmarks,Manyi Wang,2026,F7,Processo transversal & ciclo completo,ausente,media,"PAIChecker é um framework multi-agente que orquestra múltiplas fases (identificação de padrões, síntese de rótulos, validação de código) para avaliar qualidade de benchmarks, caracterizando-se como processo transversal de avaliação agêntica.",C2,Ferramenta/sistema,alto,Sistema multi-agente para validar qualidade de benchmarks SWE-bench,0.0,,,,,,,,,sem dado,sim,Accepted at the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026). Github Repo: https://github.com/manyiResearch/PAI,https://arxiv.org/abs/2607.28587,https://doi.org/10.48550/arXiv.2607.28587,,
ASE,aceito,2507.1813,Doc2Feat-Bench: Evaluating Documentation-Driven Feature Addition,Zhonghao Jiang,2025,F3,Implementação & geração de código,ausente,alta,"O benchmark avalia agentes de software que implementam features a partir de documentação (geração/tradução de especificação em código), não planejamento ou gestão de releases.",C4,Benchmark/avaliação,alto,Benchmark para avaliação de agentes em implementação dirigida por documentação,0.0,,,,,,,,,sem dado,sim,Accepted by ASE 2026,https://arxiv.org/abs/2507.18130,https://doi.org/10.48550/arXiv.2507.18130,,
ASE,aceito,2601.19138,AgenticSCR: An Autonomous Agentic Secure Code Review for Immature Vulnerabilities Detection,Wachiraphan Charoenwet,2026,F4,Verificação & qualidade,central,alta,"AgenticSCR é uma ferramenta de revisão de código focada em detecção de vulnerabilidades e análise de segurança, atividades características da fase de verificação e qualidade (F4).",C2,Ferramenta/sistema,alto,Revisão segura de código com agente autônomo e memória semântica,0.0,,,,,,,,,sem dado,sim,Accepted at the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE'26 Industry-Track),https://arxiv.org/abs/2601.19138,https://doi.org/10.48550/arXiv.2601.19138,S1,Detecção de vulnerabilidade em código
ASE,aceito,2512.1754,SGCR: A Specification-Grounded Framework for Trustworthy LLM Code Review,Kai Wang,2025,F4,Verificação & qualidade,secundaria,alta,"SGCR automatiza verificação de código contra especificações para detectar problemas e fornecer feedback, atividades centrais de garantia de qualidade.",C2,Ferramenta/sistema,medio,Framework LLM para revisão de código com especificações e verificação,0.0,0.0,,,,,,,,sem dado,sim,Accepted at ASE 2025,https://arxiv.org/abs/2512.17540,https://doi.org/10.48550/arXiv.2512.17540,S1,Detecção de vulnerabilidade em código
ASE,aceito,2607.25946,A Low-Cost Human-in-the-Loop Investigation of Toxicity on GitHub at Scale,Rahat Rizvi Rahman,2026,F4,Verificação & qualidade,ausente,alta,"O trabalho classifica e valida toxicidade em conversas do GitHub através de anotação com verificação de qualidade, que é essencialmente atividade de F4 (verificação e qualidade de dados/dataset).",C3,Estudo empírico,medio,Anotação em larga escala de toxicidade em GitHub com validação,0.0,,,,,,,,,sem dado,sim,Accepted at the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026),https://arxiv.org/abs/2607.25946,https://doi.org/10.48550/arXiv.2607.25946,,
ASE,aceito,2606.29742,MicroAgent: Context-Augmented Multi-Agent Framework for Automatic Microservice Decomposition,Zishan Su,2026,F2,Projeto & arquitetura,ausente,alta,"O trabalho aborda decisões arquiteturais fundamentais sobre particionamento de monolitos em microsserviços, que é essencialmente uma tarefa de projeto e arquitetura de sistemas.",C2,Ferramenta/sistema,alto,Framework multi-agente para decomposição automática de microsserviços,0.0,,,,,,,,,sem dado,sim,Accepted at the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026),https://arxiv.org/abs/2606.29742,https://doi.org/10.48550/arXiv.2606.29742,,
ASE,workshop/track,2606.01152,ASE-26: a curriculum for agentic software engineering as a discipline,Mikael Gorsky,2026,F8,Formação e educação em engenharia de software,ausente,alta,"O trabalho apresenta um currículo de formação (ASE-26) para engenharia de software com agentes, direcionado a estudantes de graduação, caracterizando-se como educação e treinamento disciplinar.",C5,Visão/posição/roadmap,alto,Currículo para engenharia de software agentica como disciplina acadêmica,0.0,,,,,,,,,sem dado,sim,"12 pages, 20 references. Companion paper to the ASE-26 curriculum deposited on Zenodo at doi:10.5281/zenodo.20468021. Part 1 of a planned series of tw",https://arxiv.org/abs/2606.01152,https://doi.org/10.48550/arXiv.2606.01152,,
ASE,aceito,2607.06101,Agents That Teach: Towards Designing Incidental Learning Back into AI-Assisted Software Development,Rohit Mehra,2026,F7,Processo transversal & ciclo completo,ausente,media,"O artigo propõe um framework multi-agente (SHIELD) que orquestra interações entre agentes e desenvolvedores para avaliar e melhorar múltiplas fases do desenvolvimento, focando em colaboração humano-IA e governança do processo.",C1,Técnica/abordagem,alto,Design de sistemas multi-agente para aprendizado incidental em desenvolvimento,0.0,,,,,,,,,sem dado,sim,"5 pages. To be published in the proceedings of 41st International Conference on Automated Software Engineering (ASE '26), October 12-16, 2026, Munich,",https://arxiv.org/abs/2607.06101,https://doi.org/10.48550/arXiv.2607.06101,,
ASE,aceito,2603.25928,TheBotCompany: Self-Organizing Multi-agent Systems for Continuous Software Development,Wenhan Lyu,2026,F7,Processo transversal & ciclo completo,ausente,alta,"Framework de orquestração multi-agente que coordena várias fases (estratégia, execução, verificação) com auto-organização de equipes e memória de agente, caracterizando-se como processo transversal de colaboração humano-IA.",C2,Ferramenta/sistema,alto,Framework orquestração multi-agente autônomo desenvolvimento contínuo software,0.0,,,,,,,,,sem dado,sim,Accepted by ASE 2026,https://arxiv.org/abs/2603.25928,https://doi.org/10.48550/arXiv.2603.25928,,
ASE,aceito,2509.17096,Prompt-with-Me: in-IDE Structured Prompt Management for LLM-Driven Software Engineering,Ziyou Li,2025,F7,Processo transversal & ciclo completo,ausente,alta,"O foco central é um framework multi-agente (sistema de classificação automática + sugestões) que orquestra a gestão de prompts transversalmente às fases do SDLC, não a manutenção de uma base de conhecimento consultável do projeto.",C2,Ferramenta/sistema,baixo,Gerenciamento estruturado de prompts em IDE para engenharia de software,0.0,,,,,,,,,sem dado,sim,"Accepted in the 40th IEEE/ACM International Conference on Automated Software Engineering, ASE 2025 (Industry track)",https://arxiv.org/abs/2509.17096,https://doi.org/10.48550/arXiv.2509.17096,,
ASE,aceito,2603.22114,Automated Lemma Discovery in Agentic Program Verification,Huan Zhao,2026,F4,Verificação & qualidade,ausente,revisado,"Trata da prova automatizada de condicoes de verificacao, atividade central de verificacao e qualidade de codigo.",C2,Ferramenta/sistema,alto,Agente LLM para descoberta de lemas auxiliares em verificacao dedutiva,0.0,,,,,,,,,sem dado,sim,13 pages. To appear in ASE 26,https://arxiv.org/abs/2603.22114,https://doi.org/10.48550/arXiv.2603.22114,,
ASE,aceito,2601.0454,AdaptEval: A Benchmark for Evaluating Large Language Models on Code Snippet Adaptation,Tanghaoran Zhang,2026,F3,Implementação & geração de código,ausente,automatica,,C4,Benchmark/avaliação,baixo,benchmark para avaliar LLMs na adaptação de trechos de código,0.0,,,,,,,,,sem dado,sim,"13 pages, 7 figures, Accepted by ASE 2025",https://arxiv.org/abs/2601.04540,https://doi.org/10.48550/arXiv.2601.04540,,
ASE,aceito,2601.14912,AlertGuardian: Intelligent Alert Life-Cycle Management for Large-scale Cloud Systems,Guangba Yu,2026,F12,Monitoramento e operação do produto em produção,ausente,revisado,"Gestão do ciclo de vida de alertas em sistemas cloud em produção trata de artefatos de operação (alertas/incidentes de sistema em execução), não de código-fonte ou histórico de commits, logo aplica-se o desempate F6/F12 em favor de F12, sem foco em segurança.",C2,Ferramenta/sistema,medio,gestão do ciclo de vida de alertas em sistemas cloud,0.0,,,,,,,,,sem dado,sim,Accepted by ASE 2025,https://arxiv.org/abs/2601.14912,https://doi.org/10.48550/arXiv.2601.14912,,
ASE,aceito,2603.23611,LLMORPH: Automated Metamorphic Testing of Large Language Models,Steven Cho,2026,F4,Verificação & qualidade,ausente,automatica,,C2,Ferramenta/sistema,baixo,teste metamórfico automatizado de LLMs em tarefas de NLP,0.0,0.0,,,,,,,,sem dado,sim,Accepted for publication in the 40th IEEE/ACM International Conference on Automated Software Engineering (ASE 2025). This arXiv version is the authors' accepted manuscrip,https://arxiv.org/abs/2603.23611,https://doi.org/10.48550/arXiv.2603.23611,,
ASE,aceito,2604.12088,Think Before You Code: Dual Reasoning for the NLSafety-Utility Trade-Off in LLM Code Generation,Honghao Tan,2026,F3,Implementação & geração de código,central,automatica,,C1,Técnica/abordagem,baixo,segurança e utilidade em geração de código com raciocínio dual,0.0,,,,,,,,,sem dado,sim,13 pages. Accepted at the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026). Artifact: https://doi.org/10.5281/zenodo.19245736,https://arxiv.org/abs/2604.12088,https://doi.org/10.48550/arXiv.2604.12088,S2,Segurança do código gerado por IA
ASE,aceito,2604.01527,REAP: Automatic Curation of Coding Agent Benchmarks from Interactive Production Usage,Smriti Jha,2026,F4,Verificação & qualidade,secundaria,automatica,,C2,Ferramenta/sistema,medio,curadoria automática de benchmarks de agentes de codificação a partir de uso real,0.0,,,,,,,,,sem dado,sim,Accepted at ASE 2026 Industry Showcase,https://arxiv.org/abs/2604.01527,https://doi.org/10.48550/arXiv.2604.01527,S9,Benchmark e avaliação de segurança
ASE,aceito,2604.0307,How Your Credentials Are Leaked by LLM Agent Skills: An Empirical Study,Zhihao Chen,2026,F4,Verificação & qualidade,central,automatica,,C3,Estudo empírico,medio,vazamento de credenciais em skills de agentes LLM,0.0,,,,,,,,,sem dado,sim,Accepted to ASE 2026 (The 41st IEEE/ACM International Conference on Automated Software Engineering),https://arxiv.org/abs/2604.03070,https://doi.org/10.48550/arXiv.2604.03070,S6,Segurança do agente e do modelo
ASE,aceito,2604.07341,ReCodeAgent: A Multi-agent Workflow for Language-Agnostic Translation and Validation of Large-Scale Repositories,Ali Reza Ibrahimzada,2026,F3,Implementação & geração de código,ausente,automatica,,C2,Ferramenta/sistema,alto,tradução e validação multiagente de repositórios entre linguagens,0.0,,,,,,,,,sem dado,sim,Published in ASE 2026,https://arxiv.org/abs/2604.07341,https://doi.org/10.48550/arXiv.2604.07341,,
ASE,aceito,2604.08906,"Understanding Bugs in Modern Agentic Frameworks: A Study of Symptoms, Root Causes, and Triggering Conditions",Xiaowen Zhang,2026,F4,Verificação & qualidade,ausente,automatica,,C3,Estudo empírico,alto,estudo empírico de bugs em frameworks multi-agente,0.0,,,,,,,,,sem dado,sim,"12 pages, 2 figures. Accepted at ASE 2026",https://arxiv.org/abs/2604.08906,https://doi.org/10.48550/arXiv.2604.08906,,
ASE,aceito,2510.13106,TRUSTVIS: A Multi-Dimensional Trustworthiness Evaluation Framework for Large Language Models,Ruoyu Sun,2025,F4,Verificação & qualidade,central,automatica,,C2,Ferramenta/sistema,baixo,avaliação de segurança e robustez de LLMs com visualização interativa,0.0,0.0,,,,,,,,sem dado,sim,"4 pages, 2 figures, To appear in ASE 2025 Demo Track",https://arxiv.org/abs/2510.13106,https://doi.org/10.48550/arXiv.2510.13106,S9,Benchmark e avaliação de segurança
ASE,workshop/track,2511.07865,LLM-Powered Fully Automated Chaos Engineering: Towards Enabling Anyone to Build Resilient Software Systems at Low Cost,Daisuke Kikuta,2025,F4,Verificação & qualidade,ausente,automatica,,C2,Ferramenta/sistema,alto,automação de chaos engineering com agentes LLM em Kubernetes,0.0,0.0,,,,,,,,sem dado,sim,Accepted at ASE 2025 NIER Track. The code is available at https://github.com/ntt-dkiku/chaos-eater  2025 40th IEEE/ACM International Conference on Automated Software Engi,https://arxiv.org/abs/2511.07865,https://doi.org/10.48550/arXiv.2511.07865,,
ASE,aceito,2510.13078,ADPerf: Investigating and Testing Performance in Autonomous Driving Systems,Tri Minh-Triet Pham,2025,F4,Verificação & qualidade,secundaria,automatica,,C2,Ferramenta/sistema,baixo,testar latência de detecção de obstáculos em direção autônoma,0.0,0.0,,,,,,,,sem dado,sim,"13 pages, accepted by ASE 2025",https://arxiv.org/abs/2510.13078,https://doi.org/10.48550/arXiv.2510.13078,S3,Teste de segurança e descoberta ofensiva
ASE,aceito,2510.14465,Towards Automated Governance: A DSL for Human-Agent Collaboration in Software Projects,Adem Ait,2025,F7,Processo transversal & ciclo completo,ausente,automatica,,C5,Visão/posição/roadmap,medio,DSL para governança de colaboração humano-agente em OSS,0.0,0.0,,,,,,,,sem dado,sim,"Accepted in the 40th IEEE/ACM International Conference on Automated Software Engineering, ASE 2025",https://arxiv.org/abs/2510.14465,https://doi.org/10.48550/arXiv.2510.14465,,
ASE,aceito,2605.03822,KVerus: Scalable and Resilient Formal Verification Proof Generation for Rust Code,Yuwei Liu,2026,F4,Verificação & qualidade,secundaria,automatica,,C2,Ferramenta/sistema,medio,geração automática de provas de verificação formal para código Rust,0.0,,,,,,,,,sem dado,sim,Accepted at ASE 2026,https://arxiv.org/abs/2605.03822,https://doi.org/10.48550/arXiv.2605.03822,S8,"Requisito, projeto e política"
ASE,aceito,2607.06766,Deployment Risk Assessment Using Diff-Aware Features: A Case Study at Prime Video,Mayur Kurup,2026,F4,Verificação & qualidade,ausente,automatica,,C2,Ferramenta/sistema,baixo,predição de risco de deploy via métricas diff-aware com LLMs,0.0,,,,,,,,,sem dado,sim,Accepted at ASE 2026 - Industry Showcase,https://arxiv.org/abs/2607.06766,https://doi.org/10.48550/arXiv.2607.06766,,
ASE,aceito,2608.01975,TELLER: Non-intrusive Cross-Layer Root-Cause Analysis for LLM Inference,Ruilin Xu,2026,F12,Monitoramento e operação do produto em produção,ausente,revisado,"Análise de causa raiz via traces e logs de inferência LLM em execução caracteriza sistema em operação (artefato = log/trace), enquadrando-se em F12 e não em F5 (falha conhecida no código) pela regra de desempate F5/F12.",C2,Ferramenta/sistema,medio,análise de causa raiz em inferência de LLM via traces e logs,0.0,,,,,,,,,sem dado,sim,"12 pages, 1 figure, 9 tables. Accepted to the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026)",https://arxiv.org/abs/2608.01975,https://doi.org/10.48550/arXiv.2608.01975,,
ASE,aceito,2608.03734,We Must Have Missed This Comment: Detecting and Repairing Stale Function References in Linux Kernel Comments,Kexin Sun,2026,F5,Depuração & reparo,ausente,automatica,,C2,Ferramenta/sistema,medio,detectar e reparar referências obsoletas em comentários do kernel,0.0,,,,,,,,,sem dado,sim,Accepted at ASE 2026,https://arxiv.org/abs/2608.03734,https://doi.org/10.48550/arXiv.2608.03734,,
ASE,aceito,2608.04439,ExeCRE: Execution-Consistency Guided Reliability Estimation for Self-Correcting Code Generation,Yiru Dong,2026,F4,Verificação & qualidade,ausente,automatica,,C1,Técnica/abordagem,medio,estimar confiabilidade de código via consistência de execução,0.0,,,,,,,,,sem dado,sim,"13 pages, 5 figures. Accepted at the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026)",https://arxiv.org/abs/2608.04439,https://doi.org/10.48550/arXiv.2608.04439,,
ASE,aceito,2608.03558,EffiHolmes: Differential Profiling-Guided Repository Level Time Inefficiency Fix Localization,Haowen Yang,2026,F5,Depuração & reparo,ausente,automatica,,C1,Técnica/abordagem,medio,localização de ineficiência de desempenho via profiling e LLM,0.0,,,,,,,,,sem dado,sim,"Accepted at the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026). 13 pages, 3 figures, and 4 tables",https://arxiv.org/abs/2608.03558,https://doi.org/10.48550/arXiv.2608.03558,,
ASE,aceito,2607.26591,MultiFixer: A Coordinator-Proposer Based Multi-Agent Framework For Fixing Multi-Hunk Bugs,Haichuan Hu,2026,F5,Depuração & reparo,ausente,automatica,,C2,Ferramenta/sistema,alto,reparo automatizado de bugs multi-hunk via multiagentes coordenador-proponente,0.0,,,,,,,,,sem dado,sim,Accepted to 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026),https://arxiv.org/abs/2607.26591,https://doi.org/10.48550/arXiv.2607.26591,,
ASE,aceito,2607.27374,From Backlog Items to Security Guidance: Towards Continuous Security Compliance,Ignacio García Núñez,2026,F1,Requisitos & especificação,central,automatica,,C2,Ferramenta/sistema,medio,classificação e RAG para vincular itens de backlog a requisitos de segurança,0.0,,,,,,,,,sem dado,sim,"11 pages, 3 figures, 3 tables. Accepted at the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026), Industry Showcase track",https://arxiv.org/abs/2607.27374,https://doi.org/10.48550/arXiv.2607.27374,S8,"Requisito, projeto e política"
ASE,aceito,2606.22502,WebCQ: Cooperative Multi-Agent Deep Reinforcement Learning for Scalable Web GUI Testing,Yujia Fan,2026,F4,Verificação & qualidade,ausente,automatica,,C2,Ferramenta/sistema,medio,teste automatizado de GUI web com aprendizado por reforço multiagente,0.0,,,,,,,,,sem dado,sim,This paper has been accepted to the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026),https://arxiv.org/abs/2606.22502,https://doi.org/10.48550/arXiv.2606.22502,,
ASE,aceito,2606.25239,Tensor-Based Batch Fuzzing with Adaptive Perturbation Scaling for Deep Neural Networks,Guanqin Zhang,2026,F4,Verificação & qualidade,secundaria,automatica,,C1,Técnica/abordagem,baixo,fuzzing em lote com perturbação adaptativa para testar redes neurais,0.0,,,,,,,,,sem dado,sim,This paper has been accepted by International Conference on Automated Software Engineering (ASE) 2026,https://arxiv.org/abs/2606.25239,https://doi.org/10.48550/arXiv.2606.25239,S3,Teste de segurança e descoberta ofensiva
ASE,aceito,2606.26505,"Same Scrutiny, More Time: Eye Tracking Insights into Reviewing LLM-Labelled Code",Ranim Khojah,2026,F4,Verificação & qualidade,ausente,automatica,,C3,Estudo empírico,baixo,"revisão de código gerado por LLM, eye tracking, confiança do revisor",0.0,,,,,,,,,sem dado,sim,Accepted at the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026),https://arxiv.org/abs/2606.26505,https://doi.org/10.48550/arXiv.2606.26505,,
ASE,aceito,2606.28037,Evolution-Aware Regression Test Prioritization of ML-Enabled Systems Using Gradient-Based Behavior Vectors,Eunho Cho,2026,F4,Verificação & qualidade,ausente,automatica,,C1,Técnica/abordagem,baixo,priorização de testes de regressão em sistemas ML evolutivos,0.0,,,,,,,,,sem dado,sim,Accepted to the 41st IEEE/ACM International Conference on Automated Software Engineering (ASE 2026),https://arxiv.org/abs/2606.28037,https://doi.org/10.48550/arXiv.2606.28037,,
ASE,aceito,2606.21926,A11YRepair: Bridging Web Accessibility Barriers via Knowledge-Enhanced Divide-and-Conquer Repair,Kai Huang,2026,F5,Depuração & reparo,ausente,automatica,,C2,Ferramenta/sistema,medio,Reparo automatizado de violações de acessibilidade web com LLM,0.0,,,,,,,,,sem dado,sim,Accepted by ASE 2026,https://arxiv.org/abs/2606.21926,https://doi.org/10.48550/arXiv.2606.21926,,
ASE,aceito,2607.10174,VRExplorer: A Model-based Approach for Semi-Automated Testing of Virtual Reality Scenes,Zhengyang Zhu,2026,F4,Verificação & qualidade,ausente,automatica,,C2,Ferramenta/sistema,medio,teste semi-automatizado baseado em modelo para cenas de realidade virtual,0.0,,,,,,,,,sem dado,sim,"Published in ASE 2025  2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE), pp. 482-494, 2025",https://arxiv.org/abs/2607.10174,https://doi.org/10.48550/arXiv.2607.10174,,
ASE,aceito,2607.23169,Bifrost: Empowering Pretrained Language Model with Fallibility Representation for Log-Based Fault Diagnosis,Minghua He,2026,F12,Monitoramento e operação do produto em produção,ausente,revisado,"Diagnóstico de falhas a partir de representação de logs é diagnóstico de causa raiz em sistema operando, artefato observado é log, logo aplica-se o desempate F5/F12 em favor de F12, sem foco em segurança.",C1,Técnica/abordagem,baixo,representação de logs via aprendizado contrastivo para diagnóstico de falhas,0.0,,,,,,,,,sem dado,sim,Accepted by ASE 2026 (Research Track),https://arxiv.org/abs/2607.23169,https://doi.org/10.48550/arXiv.2607.23169,,
