topico_seguranca,topico_seguranca_nome,seguranca,fase,fase_nome,corpus,sede,arxiv_id,titulo,ano,foco,citacoes,fwci,momentum,url
S2,Segurança do código gerado por IA,central,F3,Implementação & geração de código,secundario,,2407.07064,Prompting Techniques for Secure Code Generation: A Systematic Investigation,2024,Prompting techniques para geração segura de código por LLMs,22.0,13.6637,acelerando,https://arxiv.org/abs/2407.07064
S2,Segurança do código gerado por IA,central,F3,Implementação & geração de código,primario,TOSEM,2407.07064,Prompting Techniques for Secure Code Generation: A Systematic Investigation,2024,Avaliação empírica de técnicas de prompting para geração segura de código,22.0,13.6637,acelerando,https://arxiv.org/abs/2407.07064
S2,Segurança do código gerado por IA,secundaria,F3,Implementação & geração de código,secundario,,2512.0002,Large Language Model for Verilog Code Generation: Literature Review and the Road Ahead,2025,Geração de código Verilog com LLMs em design de hardware,1.0,,sem rastro,https://arxiv.org/abs/2512.00020
S2,Segurança do código gerado por IA,central,F3,Implementação & geração de código,primario,ASE,2604.12088,Think Before You Code: Dual Reasoning for the NLSafety-Utility Trade-Off in LLM Code Generation,2026,segurança e utilidade em geração de código com raciocínio dual,0.0,,sem dado,https://arxiv.org/abs/2604.12088
S2,Segurança do código gerado por IA,secundaria,F3,Implementação & geração de código,primario,ISSTA,2606.27733,BashCoder-R1: Towards Robust and Explainable Bash Code Generation with Robustness-Aware Group Relative Policy Optimization,2026,Framework LLM para geração robusta e explícita de scripts Bash,0.0,,sem dado,https://arxiv.org/abs/2606.27733
S2,Segurança do código gerado por IA,central,F3,Implementação e geração de código,primario,ISSTA,2607.17619,Insecure Coding Preferences in Long-Term Memory: Security Risks for LLM-based Code Generation,2026,Preferências inseguras na memória de longo prazo contaminam o código gerado,0.0,,sem dado,https://arxiv.org/abs/2607.17619
S2,Segurança do código gerado por IA,secundaria,F3,Implementação e geração de código,secundario,,2605.05267,Bridging Generation and Training: A Systematic Review of Quality Issues in LLMs for Code,2026,propagação de problemas de qualidade de dados de treino para código gerado,,,sem dado,https://arxiv.org/abs/2605.05267
S2,Segurança do código gerado por IA,secundaria,F3,Implementação & geração de código,secundario,,2503.01245,"Large Language Models for Code Generation: A Comprehensive Survey of Challenges, Techniques, Evaluation, and Applications",2025,"LLMs para geração automática de código: técnicas, métricas e aplicações",,,sem dado,https://arxiv.org/abs/2503.01245
S2,Segurança do código gerado por IA,central,F3,Implementação e geração de código,secundario,,2511.00776,"A Systematic Literature Review of Code Hallucinations in LLMs: Characterization, Mitigation Methods, Challenges, and Future Directions for Reliable AI",2025,Alucinações em LLMs para geração e inteligência de código,,,sem dado,https://arxiv.org/abs/2511.00776
S2,Segurança do código gerado por IA,secundaria,F3,Implementação e geração de código,secundario,,2504.20799,"Hallucination by Code Generation LLMs: Taxonomy, Benchmarks, Mitigation, and Challenges",2025,taxonomia e mitigação de alucinações em geração de código,,,sem dado,https://arxiv.org/abs/2504.20799
S2,Segurança do código gerado por IA,secundaria,F3,Implementação & geração de código,primario,ICSE,2601.08734,TerraFormer: Automated Infrastructure-as-Code with LLMs Fine-Tuned via Policy-Guided Verifier Feedback,2026,Geração de código IaC com LLM fine-tuned via feedback de verificador,,,sem dado,https://arxiv.org/abs/2601.08734
S2,Segurança do código gerado por IA,central,F3,Implementação e geração de código,primario,ICSME,2607.15937,The Language of Security: How Prompt Syntax Shapes Secure Code Generation in Open LLMs,2026,Efeito da sintaxe do prompt na segurança do código gerado por LLMs abertos,,,sem dado,https://arxiv.org/abs/2607.15937
S2,Segurança do código gerado por IA,central,F4,Verificação & qualidade,secundario,,2403.07506,"Robustness, Security, Privacy, Explainability, Efficiency, and Usability of Large Language Models for Code",2024,"Propriedades não-funcionais de LLMs para código: robustez, segurança, privacidade",9.0,,platô,https://arxiv.org/abs/2403.07506
S2,Segurança do código gerado por IA,central,F4,Verificação e qualidade,secundario,,2410.15631,Security of Language Models for Code: A Systematic Literature Review,2024,segurança de modelos de linguagem para código,7.0,0.9284,acelerando,https://arxiv.org/abs/2410.15631
S2,Segurança do código gerado por IA,central,F4,Verificação & qualidade,secundario,,2412.15004,From Vulnerabilities to Remediation: A Systematic Literature Review of LLMs in Code Security,2024,Vulnerabilidades em código gerado por LLMs e capacidades de detecção/reparo,3.0,0.4438,acelerando,https://arxiv.org/abs/2412.15004
S2,Segurança do código gerado por IA,central,F4,Verificação & qualidade,secundario,,2603.1715,Intent Formalization: A Grand Challenge for Reliable Coding in the Age of AI Agents,2026,Formalização de intenção e verificação de código gerado por agentes IA,1.0,,sem rastro,https://arxiv.org/abs/2603.17150
S2,Segurança do código gerado por IA,secundaria,F4,Verificação & qualidade,primario,ASE,2510.07604,RustAssure: Differential Symbolic Testing for LLM-Transpiled C-to-Rust Code,2025,teste simbólico diferencial de código C transpilado para Rust por LLM,1.0,1.2703,sem rastro,https://arxiv.org/abs/2510.07604
S2,Segurança do código gerado por IA,secundaria,F4,Verificação & qualidade,primario,FSE,2512.20334,Comment Traps: How Defective Commented-out Code Augment Defects in AI-Assisted Code Generation,2025,impacto de código comentado defeituoso na geração de código por IA,0.0,0.0,sem dado,https://arxiv.org/abs/2512.20334
S2,Segurança do código gerado por IA,secundaria,F4,Verificação & qualidade,secundario,,2512.05239,A Survey of Bugs in AI-Generated Code,2025,Classificação de bugs e defects em código gerado por modelos IA,,,sem dado,https://arxiv.org/abs/2512.05239
S2,Segurança do código gerado por IA,central,F4,Verificação & qualidade,secundario,,2411.07597,"A Survey on Adversarial Machine Learning for Code Data: Realistic Threats, Countermeasures, and Interpretations",2024,Segurança de modelos de linguagem para código contra ataques adversariais,,,sem dado,https://arxiv.org/abs/2411.07597
S2,Segurança do código gerado por IA,central,F4,Verificação & qualidade,primario,FSE,2604.01147,SERSEM: Selective Entropy-Weighted Scoring for Membership Inference in Code Language Models,2026,Ataque de inferência de memória em modelos de código LLM,,,sem dado,https://arxiv.org/abs/2604.01147
S2,Segurança do código gerado por IA,central,F4,Verificação & qualidade,primario,ICSME,2507.10054,Explicit Vulnerability Generation with LLMs: An Investigation Beyond Adversarial Attacks,2025,Estudo empírico de geração de código vulnerável em LLMs abertos,,,sem dado,https://arxiv.org/abs/2507.10054
S2,Segurança do código gerado por IA,secundaria,F6,Manutenção e evolução do código,secundario,,2404.00227,A Survey of using Large Language Models for Generating Infrastructure as Code,2024,geração de configurações de infraestrutura como código via LLM,,,sem dado,https://arxiv.org/abs/2404.00227
S3,Teste de segurança e descoberta ofensiva,secundaria,F4,Verificação & qualidade,primario,TSE,2307.07221,"Software Testing with Large Language Models: Survey, Landscape, and Vision",2023,Revisão de LLMs em tarefas de teste de software e engenharia de prompts,430.0,196.7037,desacelerando,https://arxiv.org/abs/2307.07221
S3,Teste de segurança e descoberta ofensiva,secundaria,F4,Verificação e qualidade,secundario,,2505.16587,A Survey on the Application of Large Language Models in Scenario-Based Testing of Automated Driving Systems,2025,LLMs em teste baseado em cenários de sistemas autônomos,6.0,18.0613,acelerando,https://arxiv.org/abs/2505.16587
S3,Teste de segurança e descoberta ofensiva,central,F4,Verificação & qualidade,primario,ICSE,2412.01317,The Seeds of the FUTURE Sprout from History: Fuzzing for Unveiling Vulnerabilities in Prospective Deep-Learning Libraries,2024,Framework de fuzzing para detecção de vulnerabilidades em bibliotecas de aprendizado profundo,5.0,8.3651,platô,https://arxiv.org/abs/2412.01317
S3,Teste de segurança e descoberta ofensiva,central,F4,Verificação e qualidade,primario,ISSTA,2504.12034,OpDiffer: LLM-Assisted Opcode-Level Differential Testing of Ethereum Virtual Machine,2025,Teste diferencial em nível de opcode de máquinas virtuais Ethereum,3.0,1.859,acelerando,https://arxiv.org/abs/2504.12034
S3,Teste de segurança e descoberta ofensiva,central,F4,Verificação e qualidade,secundario,,2607.02605,"A Survey of LLM-Driven Penetration Testing: Taxonomy, Co-Evolution, and Open Challenges",2026,Evolução arquitetural de agentes LLM em pentest,0.0,,sem dado,https://arxiv.org/abs/2607.02605
S3,Teste de segurança e descoberta ofensiva,central,F4,Verificação e qualidade,secundario,,2603.13411,Human in the Loop for Fuzz Testing: Literature Review and the Road Ahead,2026,Human-in-the-loop combinado com fuzz testing de software,0.0,,sem dado,https://arxiv.org/abs/2603.13411
S3,Teste de segurança e descoberta ofensiva,secundaria,F4,Verificação & qualidade,primario,ASE,2510.13078,ADPerf: Investigating and Testing Performance in Autonomous Driving Systems,2025,testar latência de detecção de obstáculos em direção autônoma,0.0,0.0,sem dado,https://arxiv.org/abs/2510.13078
S3,Teste de segurança e descoberta ofensiva,secundaria,F4,Verificação & qualidade,primario,ASE,2606.25239,Tensor-Based Batch Fuzzing with Adaptive Perturbation Scaling for Deep Neural Networks,2026,fuzzing em lote com perturbação adaptativa para testar redes neurais,0.0,,sem dado,https://arxiv.org/abs/2606.25239
S3,Teste de segurança e descoberta ofensiva,central,F4,Verificação & qualidade,primario,FSE,2512.21236,Casting a SPELL: Sentence Pairing Exploration for LLM Limitation-breaking,2025,framework de jailbreak para geração de código malicioso em LLMs,0.0,,sem dado,https://arxiv.org/abs/2512.21236
S3,Teste de segurança e descoberta ofensiva,central,F4,Verificação & qualidade,primario,FSE,2604.13611,V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution,2026,validação automática de vulnerabilidades via geração de exploits em contratos inteligentes,0.0,,sem dado,https://arxiv.org/abs/2604.13611
S3,Teste de segurança e descoberta ofensiva,secundaria,F4,Verificação & qualidade,primario,ICSE,2512.08706,RESTifAI: LLM-Based Workflow for Reusable REST API Testing,2025,"Geração de testes para APIs REST com LLM, happy-path e casos negativos",0.0,,sem dado,https://arxiv.org/abs/2512.08706
S3,Teste de segurança e descoberta ofensiva,secundaria,F4,Verificação e qualidade,secundario,,2512.15422,A Survey on the Applications of Generative Artificial Intelligence in Automated Driving Systems Test Scenario Generation Methods,2025,Geração de cenários teste para sistemas de direção autônoma com IA generativa,,,sem dado,https://arxiv.org/abs/2512.15422
S3,Teste de segurança e descoberta ofensiva,secundaria,F4,Verificação & qualidade,primario,FSE,2603.2456,Boosting LLMs for Mutation Generation,2026,geração de mutantes via RAG e fine-tuning para teste,,,sem dado,https://arxiv.org/abs/2603.24560
S3,Teste de segurança e descoberta ofensiva,secundaria,F4,Verificação & qualidade,primario,ICSE,2605.00413,ClozeMaster: Fuzzing Rust Compiler by Harnessing LLMs for Infilling Masked Real Programs,2026,Fuzzing de compilador Rust usando LLMs para geração de casos de teste,,,sem dado,https://arxiv.org/abs/2605.00413
S3,Teste de segurança e descoberta ofensiva,central,F4,Verificação & qualidade,primario,ICSE,2512.19758,Attention Distance: A Novel Metric for Directed Fuzzing with Large Language Models,2025,métrica de distância guiada por LLM para fuzzing direcionado,,,sem dado,https://arxiv.org/abs/2512.19758
S4,Reparo e mitigação de vulnerabilidade,central,F5,Depuração e reparo,primario,ISSTA,2305.18607,How Effective Are Neural Networks for Fixing Security Vulnerabilities,2023,"Comparação de LLMs e reparo automático em vulnerabilidades Java, com novo benchmark",93.0,18.2411,desacelerando,https://arxiv.org/abs/2305.18607
S4,Reparo e mitigação de vulnerabilidade,secundaria,F5,Depuração & reparo,primario,TOSEM,2405.01466,A Systematic Literature Review on Large Language Models for Automated Program Repair,2024,Revisão sistemática de LLMs para reparo automatizado de programas,16.0,,desacelerando,https://arxiv.org/abs/2405.01466
S4,Reparo e mitigação de vulnerabilidade,central,F5,Depuração & reparo,primario,ASE,2510.0548,Vul-R2: A Reasoning LLM for Automated Vulnerability Repair,2025,reparo automatizado de vulnerabilidades com LLM de raciocínio,2.0,3.8492,sem rastro,https://arxiv.org/abs/2510.05480
S4,Reparo e mitigação de vulnerabilidade,secundaria,F5,Depuração & reparo,secundario,,2411.07586,A Comprehensive Survey of AI-Driven Advancements and Techniques in Automated Program Repair and Code Generation,2024,Geração de código e reparo automático com LLMs,1.0,,sem dado,https://arxiv.org/abs/2411.07586
S4,Reparo e mitigação de vulnerabilidade,central,F5,Depuração e reparo,primario,ICSE,2401.15459,Multi-LLM Collaboration + Data-Centric Innovation = 2x Better Vulnerability Repair,2024,Reparo automático de vulnerabilidade com CWE e colaboração entre dois LLMs,1.0,,sem rastro,https://arxiv.org/abs/2401.15459
S4,Reparo e mitigação de vulnerabilidade,central,F5,Depuração & reparo,primario,FSE,2605.22087,Automated Repair of TEE Partitioning Issues via DSL-Guided and LLM-Assisted Patching,2026,reparo automatizado de vulnerabilidades de particionamento em TEE,0.0,0.0,sem dado,https://arxiv.org/abs/2605.22087
S4,Reparo e mitigação de vulnerabilidade,central,F5,Depuração e reparo,primario,FSE,2605.01769,VulKey: Automated Vulnerability Repair Guided by Domain-Specific Repair Patterns,2026,Reparo de vulnerabilidade guiado por padrões hierárquicos derivados de CWE e NVD,0.0,0.0,sem dado,https://arxiv.org/abs/2605.01769
S4,Reparo e mitigação de vulnerabilidade,central,F5,Depuração & reparo,primario,ICSE,2512.20203,Well Begun is Half Done: Location-Aware and Trace-Guided Iterative Automated Vulnerability Repair,2025,Reparo automatizado de vulnerabilidades com LLM iterativo e localização guiada,0.0,,sem dado,https://arxiv.org/abs/2512.20203
S4,Reparo e mitigação de vulnerabilidade,central,F5,Depuração & reparo,primario,ICSE,2512.22633,Rethinking the Capability of Fine-Tuned Language Models for Automated Vulnerability Repair,2025,Avaliacao empirica de modelos ajustados para reparo automatico de vulnerabilidades,,,sem dado,https://arxiv.org/abs/2512.22633
S5,Cadeia de suprimentos e dependências,central,F4,Verificação & qualidade,primario,ICSE,2502.1583,Show Me Your Code! Kill Code Poisoning: A Lightweight Method Based on Code Naturalness,2025,Detecção de ataques de envenenamento em modelos de código via análise de naturalidade,4.0,6.6282,platô,https://arxiv.org/abs/2502.15830
S5,Cadeia de suprimentos e dependências,secundaria,F4,Verificação & qualidade,secundario,,2507.0527,"Open Source, Hidden Costs: A Systematic Literature Review on OSS License Management",2025,Gestão de riscos de licenças OSS em desenvolvimento de software,2.0,0.8894,sem rastro,https://arxiv.org/abs/2507.05270
S5,Cadeia de suprimentos e dependências,central,F4,Verificação & qualidade,secundario,,2405.02828,Trojans in Large Language Models of Code: A Critical Review through a Trigger-Based Taxonomy,2024,Segurança de modelos de linguagem para código contra ataques trojans,2.0,,sem dado,https://arxiv.org/abs/2405.02828
S5,Cadeia de suprimentos e dependências,secundaria,F4,Verificação & qualidade,primario,FSE,2604.27789,Test Before You Deploy: Governing Updates in the LLM Supply Chain,2026,governança de testes e gates de compatibilidade para atualizações de LLM,0.0,0.0,sem dado,https://arxiv.org/abs/2604.27789
S5,Cadeia de suprimentos e dependências,central,F4,Verificação & qualidade,primario,FSE,2604.04977,Towards Predicting Multi-Vulnerability Attack Chains in Software Supply Chains from Software Bill of Materials Graphs,2026,Predição de cadeias de ataque multi-vulnerabilidade em SBOMs via aprendizado em grafos heterogêneos,,,sem dado,https://arxiv.org/abs/2604.04977
S5,Cadeia de suprimentos e dependências,central,F4,Verificação & qualidade,primario,ICSE,2512.23385,Securing the AI Supply Chain: What Can We Learn From Developer-Reported Security Issues and Solutions of AI Projects?,2025,Segurança em supply chain de IA: classificação de issues de developers,,,sem dado,https://arxiv.org/abs/2512.23385
S5,Cadeia de suprimentos e dependências,central,F6,Manutenção e evolução do código,secundario,,2506.03507,Software Bill of Materials in Software Supply Chain Security A Systematic Literature Review,2025,SBOMs em segurança de cadeia de suprimentos de software,,,sem dado,https://arxiv.org/abs/2506.03507
S6,Segurança do agente e do modelo,central,F3,Implementação e geração de código,secundario,,2509.14404,A Taxonomy of Prompt Defects in LLM Systems,2025,taxonomia de defeitos de prompt em sistemas LLM,0.0,,sem dado,https://arxiv.org/abs/2509.14404
S6,Segurança do agente e do modelo,central,F4,Verificação & qualidade,primario,ASE,2604.0307,How Your Credentials Are Leaked by LLM Agent Skills: An Empirical Study,2026,vazamento de credenciais em skills de agentes LLM,0.0,,sem dado,https://arxiv.org/abs/2604.03070
S6,Segurança do agente e do modelo,central,F4,Verificação & qualidade,primario,ASE,2605.30777,What Breaks When LLMs Code? Characterizing Operational Safety Failures of Agentic Code Assistants,2026,Falhas de segurança operacional em agentes de codificação autônomos,,,sem dado,https://arxiv.org/abs/2605.30777
S6,Segurança do agente e do modelo,central,F4,Verificação & qualidade,primario,FSE,2603.28166,Evaluating Privilege Usage of Agents with Real-World Tools,2026,Avaliação de segurança e privilégios em agentes LLM com ferramentas reais,,,sem dado,https://arxiv.org/abs/2603.28166
S6,Segurança do agente e do modelo,secundaria,F7,Processo transversal e ciclo completo,secundario,,2401.05459,"Personal LLM Agents: Insights and Survey about the Capability, Efficiency and Security",2024,agentes LLM pessoais integrados a dados e dispositivos,31.0,,desacelerando,https://arxiv.org/abs/2401.05459
S6,Segurança do agente e do modelo,secundaria,F7,Processo transversal & ciclo completo,primario,TOSEM,2409.02977,Large Language Model-Based Agents for Software Engineering: A Survey,2024,Agentes baseados em LLMs para Engenharia de Software: levantamento sistemático,15.0,,desacelerando,https://arxiv.org/abs/2409.02977
S6,Segurança do agente e do modelo,central,F7,Processo transversal e ciclo completo,secundario,,2505.10924,A Survey on the Safety and Security Threats of Computer-Using Agents: JARVIS or Ultron?,2025,Taxonomia de ameaças de segurança e defesas em agentes de computador,1.0,,sem rastro,https://arxiv.org/abs/2505.10924
S6,Segurança do agente e do modelo,secundaria,F7,Processo transversal & ciclo completo,secundario,,2606.13175,The End of Code Review: Coding Agents Supersede Human Inspection,2026,Agentes de IA substituindo revisão humana de código em qualidade,0.0,,sem dado,https://arxiv.org/abs/2606.13175
S6,Segurança do agente e do modelo,secundaria,F7,Processo transversal & ciclo completo,primario,FSE,2604.13103,Fairness in Multi-Agent Systems for Software Engineering: An SDLC-Oriented Rapid Review,2026,Fairness em sistemas multi-agente LLM para desenvolvimento software,0.0,,sem dado,https://arxiv.org/abs/2604.13103
S6,Segurança do agente e do modelo,secundaria,F7,Processo transversal e ciclo completo,secundario,,2606.05339,A Taxonomy of Runtime Faults in Model Context Protocol Servers,2026,Taxonomia de falhas em tempo de execução de servidores MCP,,,sem dado,https://arxiv.org/abs/2606.05339
S6,Segurança do agente e do modelo,secundaria,F7,Processo transversal & ciclo completo,secundario,,2512.22256,Agentic Software Issue Resolution with Large Language Models: A Survey,2025,Agentes LLM para resolução automática de issues em repositórios software,,,sem dado,https://arxiv.org/abs/2512.22256
S7,Ataque e anomalia em operação,secundaria,F12,Monitoramento e operação do produto em produção,secundario,,2406.11213,A Survey of AIOps for Failure Management in the Era of Large Language Models,2024,AIOps baseado em LLM para gestão de falhas de sistemas,1.0,,sem rastro,https://arxiv.org/abs/2406.11213
S7,Ataque e anomalia em operação,secundaria,F12,Monitoramento e operação do produto em produção,primario,ICSE,2412.0524,"Automated, Unsupervised, and Auto-parameterized Inference of Data Patterns and Anomaly Detection",2024,inferência automática de padrões e detecção de anomalias em dados,,,sem dado,https://arxiv.org/abs/2412.05240
S8,"Requisito, projeto e política",central,F1,Requisitos & especificação,primario,ICSE,2503.11573,Synthesizing Access Control Policies using Large Language Models,2025,Síntese de políticas de controle de acesso usando LLMs com prompting,4.0,19.9983,acelerando,https://arxiv.org/abs/2503.11573
S8,"Requisito, projeto e política",central,F1,Requisitos & especificação,primario,ASE,2607.27374,From Backlog Items to Security Guidance: Towards Continuous Security Compliance,2026,classificação e RAG para vincular itens de backlog a requisitos de segurança,0.0,,sem dado,https://arxiv.org/abs/2607.27374
S8,"Requisito, projeto e política",central,F1,Requisitos & especificação,secundario,,2607.21608,From Obligation to Specification: A Survey on Validating EU AI Act Requirements in RE,2026,Validação de requisitos EU AI Act com ferramentas LLM-agenticas,,,sem dado,https://arxiv.org/abs/2607.21608
S8,"Requisito, projeto e política",secundaria,F2,Projeto & arquitetura,secundario,,2506.01595,A Systematic Mapping Study on Software Architecture for AI-based Mobility Systems,2025,Arquitetura de software para sistemas críticos baseados em IA,,,sem dado,https://arxiv.org/abs/2506.01595
