arxiv_id,titulo,primeiro_autor,ano,data,fase,fase_nome,seguranca,confianca_fase,justificativa_fase,tipo,tipo_nome,agentico,foco,n_buscas_recuperado,categoria_arxiv,citacoes,fwci,cit_2024,cit_2025,cit_2026,ritmo_anual_2026,aceleracao,crescimento,pct_cit_2026,momentum,oa_match,url,doi_arxiv,topico_seguranca,topico_seguranca_nome
2404.13501,A Survey on the Memory Mechanism of Large Language Model based Agents,Zeyu Zhang,2024,2024-04-21T01:49:46Z,F7,Processo transversal & ciclo completo,ausente,media,"Enquanto a obra trata de mecanismos de memória em agentes LLM (potencialmente F7 orquestração/memória de agente), o foco central é design e avaliação sistemática de componentes de memória transversais a múltiplas fases de aplicações de agentes, não se restringindo a uma única fase de engenharia de software.",T3,Survey narrativo,alto,Mecanismos de memória em agentes baseados em LLM,1,cs.AI,88.0,106.8565,1.0,37.0,50.0,84.1,47.1,2.27,0.568,acelerando,sim,https://arxiv.org/abs/2404.13501,https://doi.org/10.48550/arXiv.2404.13501,,
2410.16349,Large Language Models in Computer Science Education: A Systematic Literature Review,Nishat Raihan,2024,2024-10-21T17:49:50Z,F8,Formação e educação em engenharia de software,ausente,alta,"Revisão sistemática focada em impacto de LLMs na educação em computação, aprendizado de estudantes e desenvolvimento curricular, não em desenvolvimento de software propriamente dito.",T1,Revisão sistemática (SLR),baixo,LLMs para geração e depuração de código em educação em computação,1,cs.LG,64.0,22.9221,,28.0,36.0,60.6,32.6,2.16,0.562,acelerando,sim,https://arxiv.org/abs/2410.16349,https://doi.org/10.48550/arXiv.2410.16349,,
2402.0168,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,Taicheng Guo,2024,2024-01-21T23:36:14Z,F7,Processo transversal & ciclo completo,ausente,alta,"Survey sobre arquitetura, design e orquestração de sistemas multi-agentes com LLMs (framework multi-agente, colaboração agente-agente, visão transversal da disciplina) — não é fase específica de software mas disciplina emergente que atravessa múltiplas fases.",T3,Survey narrativo,alto,"Sistemas multi-agente baseados em LLM: arquitetura, comunicação e capacidades",1,cs.CL,61.0,,10.0,34.0,16.0,26.9,-7.1,0.79,0.262,desacelerando,sim,https://arxiv.org/abs/2402.01680,https://doi.org/10.48550/arXiv.2402.01680,,
2502.07893,Sentiment Analysis Tools in Software Engineering: A Systematic Mapping Study,Martin Obaidi,2025,2025-02-11T19:02:25Z,F4,Verificação & qualidade,ausente,alta,"Estudo sistemático sobre ferramentas de análise de sentimento aplicadas a SE para avaliação de qualidade (mood/saúde do time), verificação e monitoramento — verificação e qualidade, não transversal.",T2,Mapeamento sistemático,baixo,Ferramentas análise sentimento desenvolvimento software colaborativo,1,cs.SE,48.0,12.5086,14.0,14.0,8.0,13.5,-0.5,0.96,0.167,platô,sim,https://arxiv.org/abs/2502.07893,https://doi.org/10.48550/arXiv.2502.07893,,
2410.03981,A Survey on LLM-based Code Generation for Low-Resource and Domain-Specific Programming Languages,Sathvik Joel,2024,2024-10-04T23:45:17Z,F3,Implementação & geração de código,ausente,alta,"Survey sistemático sobre métodos e técnicas de geração de código por LLMs em linguagens de baixo recurso e DSLs, focando capacidades, desafios técnicos e abordagens de implementação.",T3,Survey narrativo,baixo,Geração de código com LLMs para linguagens de baixo recurso e domínio-específicas,2,cs.SE,41.0,46.8619,,10.0,31.0,52.1,42.1,5.21,0.756,acelerando,sim,https://arxiv.org/abs/2410.03981,https://doi.org/10.48550/arXiv.2410.03981,,
2404.04566,"Efficient and Green Large Language Models for Software Engineering: Literature Review, Vision, and the Road Ahead",Jieke Shi,2024,2024-04-06T09:27:04Z,F3,Implementação & geração de código,ausente,alta,"Foco central em geração e otimização de código LLM para engenharia de software, com ênfase em eficiência computacional e técnicas de implementação verde.",T3,Survey narrativo,medio,Eficiência e sustentabilidade de LLMs em engenharia de software,1,cs.SE,36.0,8.8536,3.0,16.0,17.0,28.6,12.6,1.79,0.472,acelerando,sim,https://arxiv.org/abs/2404.04566,https://doi.org/10.48550/arXiv.2404.04566,,
2401.05459,"Personal LLM Agents: Insights and Survey about the Capability, Efficiency and Security",Yuanchun Li,2024,2024-01-10T09:25:45Z,F7,Processo transversal e ciclo completo,secundaria,revisado,"É um survey narrativo sobre capacidades, eficiência e segurança de agentes LLM pessoais, sem protocolo sistemático explícito.",T3,Survey narrativo,alto,agentes LLM pessoais integrados a dados e dispositivos,1,cs.HC,31.0,,13.0,15.0,3.0,5.042,-9.958,0.336,0.097,desacelerando,sim,https://arxiv.org/abs/2401.05459,https://doi.org/10.48550/arXiv.2401.05459,S6,Segurança do agente e do modelo
2310.08879,A Critical Review of Large Language Model on Software Engineering: An Example from ChatGPT and Automated Program Repair,Quanjun Zhang,2023,2023-10-13T06:11:47Z,F5,Depuração & reparo,ausente,alta,"Obra avalia capacidade de LLMs em reparo automatizado de bugs (APR), que é atividade central de F5, não sendo sobre planejamento, documentação consultável ou descoberta de produto.",T3,Survey narrativo,medio,Capacidades de ChatGPT em reparo automático de programas,1,cs.SE,31.0,,13.0,12.0,2.0,3.4,-8.6,0.28,0.065,desacelerando,sim,https://arxiv.org/abs/2310.08879,https://doi.org/10.48550/arXiv.2310.08879,,
2409.07192,"How Mature is Requirements Engineering for AI-based Systems? A Systematic Mapping Study on Practices, Challenges, and Future Research Directions",Umm-e- Habiba,2024,2024-09-11T11:28:16Z,F1,Requisitos e especificação,ausente,revisado,Mapeamento sistemático que classifica e sintetiza literatura primária sobre RE4AI sem protocolo de SLR explícito.,T2,Mapeamento sistemático,baixo,"Práticas, desafios e lacunas em engenharia de requisitos para sistemas de IA",1,cs.SE,29.0,19.0431,0.0,11.0,18.0,30.2521,19.2521,2.7502,0.621,acelerando,sim,https://arxiv.org/abs/2409.07192,https://doi.org/10.48550/arXiv.2409.07192,,
2409.06741,Generative AI for Requirements Engineering: A Systematic Literature Review,Haowei Cheng,2024,2024-09-10T02:44:39Z,F1,Requisitos & especificação,ausente,alta,"A obra é uma revisão sistemática sobre IA generativa aplicada a engenharia de requisitos, analisando elicitação (22.1%) e análise (30.0%) de requisitos — atividades centrais de F1, não planejamento/gestão (F10) nem documentação consultável (F11).",T1,Revisão sistemática (SLR),medio,Generative AI aplicada a Engenharia de Requisitos,1,cs.SE,26.0,10.828,,8.0,18.0,30.3,22.3,3.78,0.692,acelerando,sim,https://arxiv.org/abs/2409.06741,https://doi.org/10.48550/arXiv.2409.06741,,
2410.07265,A Survey: Collaborative Hardware and Software Design in the Era of Large Language Models,Cong Guo,2024,2024-10-08T21:46:52Z,F7,Processo transversal e ciclo completo,ausente,revisado,"Survey narrativo sobre otimizações sistêmicas de LLMs; LLMs presentes como contexto, não como agentes autônomos.",T3,Survey narrativo,medio,co-design de hardware-software para otimização de LLMs,1,cs.AR,24.0,29.3675,0.0,13.0,11.0,18.4874,5.4874,1.4221,0.458,crescendo,sim,https://arxiv.org/abs/2410.07265,https://doi.org/10.48550/arXiv.2410.07265,,
2311.10372,"A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends",Zibin Zheng,2023,2023-11-17T07:55:16Z,F4,Verificação & qualidade,secundaria,alta,"Survey sistemático que benchmarking e avalia performance de Code LLMs em tarefas de engenharia de software, comparando modelos — é verificação e qualidade de modelos, não framework transversal (F7).",T3,Survey narrativo,baixo,Modelos de linguagem especializados em código e geração de software,3,cs.SE,23.0,,10.0,10.0,3.0,5.0,-5.0,0.5,0.13,desacelerando,sim,https://arxiv.org/abs/2311.10372,https://doi.org/10.48550/arXiv.2311.10372,S9,Benchmark e avaliação de segurança
2409.0903,"Agents in Software Engineering: Survey, Landscape, and Vision",Yanlin Wang,2024,2024-09-13T17:55:58Z,F7,Processo transversal & ciclo completo,ausente,alta,"Survey que apresenta framework multi-agente transversal (percepção, memória, ação) aplicável a múltiplas fases de SE, não focado em uma fase específica mas na orquestração e governança de agentes LLM em engenharia de software.",T3,Survey narrativo,alto,"Agentes LLM em engenharia de software: percepção, memória, ação",4,cs.SE,22.0,26.8407,,5.0,17.0,28.6,23.6,5.72,0.773,acelerando,sim,https://arxiv.org/abs/2409.09030,https://doi.org/10.48550/arXiv.2409.09030,,
2407.07064,Prompting Techniques for Secure Code Generation: A Systematic Investigation,Catherine Tony,2024,2024-07-09T17:38:03Z,F3,Implementação & geração de código,central,alta,"Investigação sistemática de técnicas de prompting para otimizar a geração de código seguro por LLMs, avaliando estratégias de elicitação e qualidade do código produzido.",T1,Revisão sistemática (SLR),medio,Prompting techniques para geração segura de código por LLMs,1,cs.SE,22.0,13.6637,,10.0,12.0,20.2,10.2,2.02,0.545,acelerando,sim,https://arxiv.org/abs/2407.07064,https://doi.org/10.48550/arXiv.2407.07064,S2,Segurança do código gerado por IA
2312.15223,A Survey on Large Language Models for Software Engineering,Quanjun Zhang,2023,2023-12-23T11:09:40Z,F7,Processo transversal & ciclo completo,ausente,media,"Survey que sintetiza aplicações de LLMs em múltiplas fases do SE (112 tarefas, 5 fases); não é residual puro, mas sim análise transversal de estado-da-arte que atravessa descoberta, requisitos, design, implementação, verificação e manutenção—nenhuma fase domina o foco central.",T3,Survey narrativo,baixo,Survey abrangente de LLMs para tarefas de engenharia de software,2,cs.SE,21.0,,7.0,8.0,6.0,10.1,2.1,1.26,0.286,crescendo,sim,https://arxiv.org/abs/2312.15223,https://doi.org/10.48550/arXiv.2312.15223,,
2408.02479,"From LLMs to LLM-based Agents for Software Engineering: A Survey of Current, Challenges and Future",Haolin Jin,2024,2024-08-05T14:01:15Z,F7,Processo transversal & ciclo completo,ausente,media,"Survey transversal sobre LLMs e agentes IA em engenharia de software que aborda múltiplas fases (requisitos, código, vulnerabilidades, etc.) sem foco central em uma única fase; framework conceitual multi-agente justifica F7 apesar do risco de falso positivo.",T3,Survey narrativo,alto,LLMs e agentes LLM para engenharia software: prática atual e desafios,10,cs.SE,20.0,,4.0,11.0,5.0,8.4,-2.6,0.76,0.25,desacelerando,sim,https://arxiv.org/abs/2408.02479,https://doi.org/10.48550/arXiv.2408.02479,,
2303.18184,A Survey on Automated Program Repair Techniques,Kai Huang,2023,2023-03-31T16:28:37Z,F5,Depuração & reparo,ausente,alta,"Survey sobre técnicas de reparo automático de programas, focando localização de falhas, geração de patches e resolução automatizada de bugs.",T3,Survey narrativo,medio,Técnicas de reparo automático de programas com foco em aprendizado profundo,2,cs.SE,20.0,,6.0,9.0,2.0,3.4,-5.6,0.37,0.1,desacelerando,sim,https://arxiv.org/abs/2303.18184,https://doi.org/10.48550/arXiv.2303.18184,,
2306.04605,Empowering Business Transformation: The Positive Impact and Ethical Considerations of Generative AI in Software Product Management -- A Systematic Literature Review,Nishant A. Parikh,2023,2023-06-05T19:49:50Z,F9,Descoberta de produto e entendimento do problema,ausente,alta,"O foco central é ideação, pesquisa de mercado e entendimento de necessidades do usuário para o produto, caracterizando descoberta de produto.",T1,Revisão sistemática (SLR),baixo,Generative AI em engenharia de requisitos e desenvolvimento de software,1,cs.SE,20.0,,7.0,1.0,,,,,,sem dado,sim,https://arxiv.org/abs/2306.04605,https://doi.org/10.48550/arXiv.2306.04605,,
2303.13173,Design Patterns for AI-based Systems: A Multivocal Literature Review and Pattern Repository,Lukas Heiland,2023,2023-03-23T10:57:11Z,F2,Projeto e arquitetura,ausente,revisado,MLR com protocolo explícito que coleta e categoriza padrões de projeto de literatura branca e cinzenta sobre sistemas de IA.,T1,Revisão sistemática (SLR),baixo,padrões de projeto para sistemas baseados em IA,1,cs.SE,19.0,6.1551,6.0,10.0,1.0,1.681,-8.319,0.168,0.053,desacelerando,sim,https://arxiv.org/abs/2303.13173,https://doi.org/10.48550/arXiv.2303.13173,,
2408.09196,Maintainability Challenges in ML: A Systematic Literature Review,Karthik Shivashankar,2024,2024-08-17T13:24:15Z,F6,Manutenção e evolução do código,ausente,revisado,Revisão sistemática com protocolo explícito que sintetiza desafios de manutenção em pipelines de ML.,T1,Revisão sistemática (SLR),baixo,Desafios de manutenibilidade em sistemas de ML,1,cs.AI,18.0,0.6757,7.0,8.0,1.0,1.6807,-6.3193,0.2101,0.056,desacelerando,sim,https://arxiv.org/abs/2408.09196,https://doi.org/10.48550/arXiv.2408.09196,,
2311.07989,Unifying the Perspectives of NLP and Software Engineering: A Survey on Language Models for Code,Ziyin Zhang,2023,2023-11-14T08:34:26Z,F3,Implementação & geração de código,ausente,alta,"Survey sistemático sobre modelos de linguagem para geração, completação, tradução e otimização de código, cobrindo arquitetura de modelos e tarefas de processamento de código.",T3,Survey narrativo,baixo,"Modelos de linguagem para engenharia de software, perspectivas NLP-SE integradas",2,cs.CL,18.0,,9.0,7.0,1.0,1.7,-5.3,0.24,0.056,desacelerando,sim,https://arxiv.org/abs/2311.07989,https://doi.org/10.48550/arXiv.2311.07989,,
2305.16091,Emotions in Requirements Engineering: A Systematic Mapping Study,Tahira Iqbal,2023,2023-05-25T14:24:36Z,F1,Requisitos & especificação,ausente,alta,"Foco central em elicitação, representação e engenharia de requisitos emocionais, não em descoberta/entendimento do produto (F9) ou gestão/planejamento (F10).",T2,Mapeamento sistemático,baixo,"Requisitos emocionais em engenharia de requisitos, mapeamento sistemático",1,cs.SE,18.0,5.8312,10.0,3.0,2.0,3.4,0.4,1.12,0.111,platô,sim,https://arxiv.org/abs/2305.16091,https://doi.org/10.48550/arXiv.2305.16091,,
2502.18474,A Contemporary Survey of Large Language Model Assisted Program Analysis,Jiayimei Wang,2025,2025-02-05T14:27:17Z,F4,Verificação e qualidade,secundaria,revisado,Revisão sistemática de aplicações de LLMs em verificação e qualidade de código com protocolo explícito.,T1,Revisão sistemática (SLR),baixo,"LLMs em análise estática, dinâmica e híbrida de programas",1,cs.SE,16.0,20.6634,0.0,9.0,7.0,11.7647,2.7647,1.3072,0.438,crescendo,sim,https://arxiv.org/abs/2502.18474,https://doi.org/10.48550/arXiv.2502.18474,S1,Detecção de vulnerabilidade em código
2405.01466,A Systematic Literature Review on Large Language Models for Automated Program Repair,Quanjun Zhang,2024,2024-05-02T16:55:03Z,F5,Depuração & reparo,ausente,alta,"Foco central em técnicas de reparo automatizado de bugs usando LLMs, que é depuração e reparo de software, não descoberta, planejamento ou documentação.",T1,Revisão sistemática (SLR),medio,LLMs para reparo automatizado de programas e depuração,2,cs.SE,16.0,,2.0,12.0,2.0,3.4,-8.6,0.28,0.125,desacelerando,sim,https://arxiv.org/abs/2405.01466,https://doi.org/10.48550/arXiv.2405.01466,,
2305.16092,AI Techniques in the Microservices Life-Cycle: A Systematic Mapping Study,Sergio Moreschini,2023,2023-05-25T14:24:37Z,F7,Processo transversal e ciclo completo,ausente,revisado,"Mapeamento sistemático que classifica conexões entre técnicas IA, atributos de qualidade e fases DevOps em microsserviços.",T2,Mapeamento sistemático,baixo,IA em microsserviços durante fases DevOps,1,cs.SE,16.0,10.668,0.0,6.0,10.0,16.8067,10.8067,2.8011,0.625,acelerando,sim,https://arxiv.org/abs/2305.16092,https://doi.org/10.48550/arXiv.2305.16092,,
2409.02977,Large Language Model-Based Agents for Software Engineering: A Survey,Junwei Liu,2024,2024-09-04T15:59:41Z,F7,Processo transversal & ciclo completo,ausente,alta,"Survey sobre framework multi-agente LLM que orquestra múltiplas fases do SE (descoberta, requisitos, implementação, verificação, depuração, manutenção), caracterizando-se como visão transversal e colaboração humano-IA, não como uma fase específica.",T3,Survey narrativo,alto,"Agentes baseados em LLM para engenharia de software: capacidades, aplicações e desafios",3,cs.SE,15.0,,2.0,9.0,4.0,6.7,-2.3,0.75,0.267,desacelerando,sim,https://arxiv.org/abs/2409.02977,https://doi.org/10.48550/arXiv.2409.02977,,
2311.12785,Prompting Frameworks for Large Language Models: A Survey,Xiaoxia Liu,2023,2023-11-21T18:51:03Z,F7,Processo transversal e ciclo completo,ausente,revisado,"É um survey narrativo sobre ferramentas e frameworks de prompting para LLMs, sem foco em fase específica de desenvolvimento de software.",T3,Survey narrativo,baixo,frameworks de prompting para uso de LLMs,1,cs.SE,15.0,,6.0,6.0,1.0,1.681,-4.319,0.28,0.067,desacelerando,sim,https://arxiv.org/abs/2311.12785,https://doi.org/10.48550/arXiv.2311.12785,,
2401.00812,"If LLM Is the Wizard, Then Code Is the Wand: A Survey on How Code Empowers Large Language Models to Serve as Intelligent Agents",Ke Yang,2024,2024-01-01T16:51:20Z,F3,Implementação & geração de código,ausente,alta,"Foco central em como código integrado ao treinamento de LLMs potencializa geração, raciocínio e execução de código como agentes, não é framework transversal nem residual.",T3,Survey narrativo,alto,"Integração de código em LLMs para reasoning, agência autônoma e execução estruturada",2,cs.CL,14.0,,9.0,4.0,1.0,1.7,-2.3,0.42,0.071,desacelerando,sim,https://arxiv.org/abs/2401.00812,https://doi.org/10.48550/arXiv.2401.00812,,
2305.08299,A Systematic Mapping Study and Practitioner Insights on the Use of Software Engineering Practices to Develop MVPs,Silvio Alonso,2023,2023-05-15T02:00:47Z,F9,Descoberta de produto e entendimento do problema,ausente,alta,"O foco central é ideação e validação de MVP com envolvimento de usuário final, caracterizando descoberta de produto e entendimento do problema, não planejamento/gestão de release.",T2,Mapeamento sistemático,baixo,Práticas de engenharia de software em desenvolvimento de MVPs,1,cs.SE,14.0,4.065,6.0,6.0,1.0,1.7,-4.3,0.28,0.071,desacelerando,sim,https://arxiv.org/abs/2305.08299,https://doi.org/10.48550/arXiv.2305.08299,,
2310.06726,Status Quo and Problems of Requirements Engineering for Machine Learning: Results from an International Survey,Antonio Pedro Santos Alves,2023,2023-10-10T15:53:50Z,F1,Requisitos & especificação,ausente,revisado,"Investiga como equipes elicitam, documentam e especificam requisitos (funcionais e não funcionais) em sistemas de ML.",T6,Survey com praticantes + revisão,baixo,Engenharia de requisitos em sistemas de machine learning na prática,1,cs.SE,14.0,4.5354,5.0,7.0,0.0,0.0,-7.0,0.0,0.0,desacelerando,sim,https://arxiv.org/abs/2310.06726,https://doi.org/10.48550/arXiv.2310.06726,,
2406.19765,Systematic Literature Review on Application of Learning-based Approaches in Continuous Integration,Ali Kazemi Arani,2024,2024-06-28T09:10:23Z,F6,Manutenção e evolução do código,ausente,revisado,"SLR com protocolo explícito sobre ML/DL em CI, síntese de 52 estudos primários sobre automação de práticas contínuas.",T1,Revisão sistemática (SLR),baixo,Aprendizado automático em integração contínua e automação,1,cs.SE,13.0,1.9682,0.0,11.0,2.0,3.3613,-7.6387,0.3056,0.154,desacelerando,sim,https://arxiv.org/abs/2406.19765,https://doi.org/10.48550/arXiv.2406.19765,,
2406.08205,What do we know about Hugging Face? A systematic literature review and quantitative validation of qualitative claims,Jason Jones,2024,2024-06-12T13:38:48Z,F7,Processo transversal e ciclo completo,ausente,revisado,Revisão sistemática com protocolo explícito que sintetiza literatura sobre registros de software (Hugging Face) e valida claims qualitativas com análise quantitativa.,T1,Revisão sistemática (SLR),baixo,Síntese de pesquisa em registros de modelos pré-treinados e supply chain,1,cs.SE,13.0,2.4184,0.0,7.0,6.0,10.084,3.084,1.4406,0.462,crescendo,sim,https://arxiv.org/abs/2406.08205,https://doi.org/10.48550/arXiv.2406.08205,,
2409.11864,"Motivations, Challenges, Best Practices, and Benefits for Bots and Conversational Agents in Software Engineering: A Multivocal Literature Review",Stefano Lambiase,2024,2024-09-18T10:37:06Z,F7,Processo transversal & ciclo completo,ausente,media,"Obra é taxonomia e síntese multivocal sobre bots/agentes conversacionais em SE (abrange múltiplas fases), mas não se restringe a descoberta, gestão ou documentação mantida—é análise transversal de adoção, desafios e benefícios de uma tecnologia que permeia todo o ciclo.",T3,Survey narrativo,alto,Bots conversacionais e agentes IA na engenharia de software,1,cs.SE,12.0,2.873,,5.0,7.0,11.8,6.8,2.35,0.583,acelerando,sim,https://arxiv.org/abs/2409.11864,https://doi.org/10.48550/arXiv.2409.11864,,
2305.05567,Behaviour Driven Development: A Systematic Mapping Study,Leonard Peter Binamungu,2023,2023-05-09T15:56:02Z,F1,Requisitos & especificação,ausente,alta,"O trabalho foca em como BDD expressa requisitos de software em linguagem semi-estruturada executável, que é especificação, não aborda planejamento/gestão (F10), documentação mantida (F11) ou descoberta de produto (F9).",T2,Mapeamento sistemático,baixo,Mapeamento sistemático de pesquisas em Behaviour Driven Development,1,cs.SE,11.0,4.7937,2.0,7.0,2.0,3.4,-3.6,0.48,0.182,desacelerando,sim,https://arxiv.org/abs/2305.05567,https://doi.org/10.48550/arXiv.2305.05567,,
2302.06065,A Systematic Literature Review of Explainable AI for Software Engineering,Ahmad Haji Mohammadkhani,2023,2023-02-13T02:59:41Z,F7,Processo transversal e ciclo completo,ausente,revisado,"Revisão sistemática com protocolo explícito (869 estudos triados, 24 selecionados) sobre uso de IA explicável em SE, tema trans…",T1,Revisão sistemática (SLR),baixo,XAI aplicada a tarefas de engenharia de software com ML,1,cs.SE,11.0,,2.0,2.0,0.0,0.0,-2.0,0.0,0.0,platô,sim,https://arxiv.org/abs/2302.06065,https://doi.org/10.48550/arXiv.2302.06065,,
